Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,0.0,783.0,943.0,0.0,1166.0,2018
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,664.0,829.0,1049.0,1002.0,941.0,2018
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,0.0,743.0,0.0,576.0,2018
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,762.0,773.0,881.0,959.0,839.0,2018
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,0.0,0.0,0.0,0.0,2018
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,0.0,720.0,715.0,677.0,709.0,2018
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,978.0,1202.0,1774.0,2099.0,1436.0,2018
N.S.,Halifax,Peninsula South,South End,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Peninsula South,South End,Apt & Other,856.0,1120.0,1515.0,1852.0,1197.0,2018
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,757.0,963.0,1395.0,1722.0,1210.0,2018
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,752.0,916.0,1144.0,1478.0,1060.0,2018
N.S.,Halifax,Peninsula North,North End,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Peninsula North,North End,Apt & Other,814.0,982.0,1216.0,1194.0,1109.0,2018
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,1570.0,1570.0,2018
N.S.,Halifax,Mainland South,Armdale,Apt & Other,1088.0,787.0,1270.0,0.0,1148.0,2018
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,598.0,686.0,893.0,1036.0,823.0,2018
N.S.,Halifax,Mainland North,Fairmount,Row,0.0,0.0,0.0,1684.0,1684.0,2018
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,0.0,718.0,0.0,0.0,0.0,2018
N.S.,Halifax,Mainland North,Fairview,Row,0.0,0.0,1252.0,0.0,1252.0,2018
N.S.,Halifax,Mainland North,Fairview,Apt & Other,0.0,874.0,1234.0,1351.0,1138.0,2018
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,0.0,0.0,0.0,1464.0,1311.0,2018
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,751.0,855.0,1066.0,1320.0,1026.0,2018
N.S.,Halifax,Mainland North,Bedford South,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,0.0,996.0,1323.0,1506.0,1259.0,2018
N.S.,Halifax,Dartmouth North,Wyse Road,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,645.0,770.0,896.0,0.0,839.0,2018
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,674.0,860.0,1078.0,1230.0,998.0,2018
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,0.0,0.0,0.0,952.0,795.0,2018
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,600.0,679.0,845.0,0.0,758.0,2018
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,586.0,758.0,818.0,917.0,804.0,2018
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,843.0,959.0,1425.0,0.0,1266.0,2018
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,0.0,1103.0,1506.0,0.0,1428.0,2018
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Apt & Other,0.0,675.0,769.0,792.0,745.0,2018
N.S.,Halifax,Dartmouth East,Cole Harbour,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth East,Cole Harbour,Apt & Other,0.0,0.0,835.0,0.0,820.0,2018
N.S.,Halifax,Bedford,Bedford,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Bedford,Bedford,Apt & Other,0.0,843.0,1278.0,1498.0,1249.0,2018
N.S.,Halifax,Sackville,Sackville,Row,0.0,0.0,1444.0,1453.0,1449.0,2018
N.S.,Halifax,Sackville,Sackville,Apt & Other,0.0,985.0,1082.0,1286.0,1093.0,2018
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Apt & Other,0.0,816.0,1130.0,0.0,1036.0,2018
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Apt & Other,0.0,0.0,1555.0,1707.0,1549.0,2018
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Row,0.0,0.0,0.0,1375.0,1375.0,2018
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Apt & Other,0.0,0.0,678.0,0.0,671.0,2018
N.S.,Halifax,Remainder of CMA,Halifax County East,Row,0.0,0.0,0.0,0.0,1397.0,2018
N.S.,Halifax,Remainder of CMA,Halifax County East,Apt & Other,0.0,0.0,0.0,0.0,0.0,2018
N.B.,Moncton,Central Moncton,Downtown Moncton,Row,0.0,0.0,0.0,0.0,0.0,2018
N.B.,Moncton,Central Moncton,Downtown Moncton,Apt & Other,588.0,719.0,833.0,802.0,769.0,2018
N.B.,Moncton,Central Moncton,Garden Hill,Row,0.0,0.0,0.0,0.0,0.0,2018
N.B.,Moncton,Central Moncton,Garden Hill,Apt & Other,565.0,650.0,776.0,825.0,740.0,2018
N.B.,Moncton,West Moncton,West Moncton,Row,0.0,0.0,0.0,0.0,0.0,2018
N.B.,Moncton,West Moncton,West Moncton,Apt & Other,626.0,699.0,802.0,818.0,755.0,2018
N.B.,Moncton,East Moncton,Sunny Brae,Row,0.0,0.0,0.0,0.0,0.0,2018
N.B.,Moncton,East Moncton,Sunny Brae,Apt & Other,0.0,642.0,807.0,0.0,829.0,2018
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Row,0.0,0.0,0.0,0.0,0.0,2018
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Apt & Other,0.0,680.0,866.0,1001.0,855.0,2018
N.B.,Moncton,East Moncton,Humphrey,Row,0.0,0.0,0.0,0.0,0.0,2018
