Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,1.0,22.0,18.0,17.0,58.0,2019
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,195.0,661.0,1011.0,106.0,1973.0,2019
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,46.0,21.0,0.0,67.0,2019
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,148.0,424.0,858.0,125.0,1555.0,2019
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,3.0,72.0,6.0,81.0,2019
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,7.0,147.0,182.0,63.0,399.0,2019
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,8.0,4.0,5.0,17.0,2019
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,316.0,1865.0,1309.0,218.0,3708.0,2019
N.S.,Halifax,Peninsula South,South End,Row,8.0,4.0,4.0,4.0,20.0,2019
N.S.,Halifax,Peninsula South,South End,Apt & Other,913.0,2394.0,1439.0,146.0,4892.0,2019
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,,,,,,2019
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,134.0,434.0,329.0,168.0,1065.0,2019
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,7.0,16.0,21.0,44.0,2019
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,282.0,1228.0,1678.0,230.0,3418.0,2019
N.S.,Halifax,Peninsula North,North End,Row,0.0,5.0,2.0,2.0,9.0,2019
N.S.,Halifax,Peninsula North,North End,Apt & Other,212.0,1025.0,1781.0,202.0,3220.0,2019
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,20.0,20.0,2019
N.S.,Halifax,Mainland South,Armdale,Apt & Other,22.0,72.0,254.0,13.0,361.0,2019
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,0.0,0.0,12.0,13.0,25.0,2019
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,32.0,906.0,1259.0,179.0,2376.0,2019
N.S.,Halifax,Mainland North,Fairmount,Row,0.0,0.0,8.0,16.0,24.0,2019
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,7.0,133.0,161.0,12.0,313.0,2019
N.S.,Halifax,Mainland North,Fairview,Row,0.0,0.0,24.0,0.0,24.0,2019
N.S.,Halifax,Mainland North,Fairview,Apt & Other,18.0,558.0,1320.0,126.0,2022.0,2019
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,0.0,17.0,38.0,141.0,196.0,2019
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,340.0,2678.0,5292.0,1127.0,9437.0,2019
N.S.,Halifax,Mainland North,Bedford South,Row,,,,,,2019
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,20.0,605.0,1690.0,250.0,2565.0,2019
N.S.,Halifax,Dartmouth North,Wyse Road,Row,0.0,0.0,4.0,2.0,6.0,2019
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,38.0,427.0,756.0,35.0,1256.0,2019
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,0.0,0.0,0.0,3.0,3.0,2019
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,16.0,493.0,790.0,161.0,1460.0,2019
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,1.0,16.0,2.0,19.0,38.0,2019
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,143.0,2178.0,1805.0,135.0,4261.0,2019
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,,,,,,2019
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,42.0,,1091.0,276.0,2408.0,2019
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,6.0,6.0,2019
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,48.0,277.0,552.0,20.0,897.0,2019
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,,,,,,2019
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,5.0,149.0,695.0,18.0,867.0,2019
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Row,0.0,2.0,6.0,17.0,25.0,2019
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Apt & Other,5.0,325.0,730.0,101.0,1161.0,2019
N.S.,Halifax,Dartmouth East,Cole Harbour,Row,,,,,,2019
N.S.,Halifax,Dartmouth East,Cole Harbour,Apt & Other,4.0,12.0,284.0,7.0,307.0,2019
N.S.,Halifax,Bedford,Bedford,Row,0.0,0.0,5.0,5.0,10.0,2019
N.S.,Halifax,Bedford,Bedford,Apt & Other,27.0,227.0,1468.0,251.0,1973.0,2019
N.S.,Halifax,Sackville,Sackville,Row,0.0,0.0,22.0,35.0,57.0,2019
N.S.,Halifax,Sackville,Sackville,Apt & Other,5.0,259.0,1022.0,205.0,1491.0,2019
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Row,0.0,0.0,3.0,0.0,3.0,2019
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Apt & Other,0.0,77.0,192.0,0.0,269.0,2019
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Row,0.0,0.0,51.0,0.0,51.0,2019
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Apt & Other,7.0,50.0,847.0,21.0,925.0,2019
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Row,,,,,,2019
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Apt & Other,0.0,1.0,10.0,7.0,18.0,2019
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Row,0.0,0.0,3.0,16.0,19.0,2019
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Apt & Other,29.0,24.0,36.0,2.0,91.0,2019
N.S.,Halifax,Remainder of CMA,Halifax County East,Row,0.0,7.0,14.0,0.0,21.0,2019
N.S.,Halifax,Remainder of CMA,Halifax County East,Apt & Other,0.0,0.0,8.0,0.0,8.0,2019
N.B.,Moncton,Central Moncton,Downtown Moncton,Row,1.0,4.0,8.0,2.0,15.0,2019
N.B.,Moncton,Central Moncton,Downtown Moncton,Apt & Other,104.0,807.0,935.0,61.0,1907.0,2019
N.B.,Moncton,Central Moncton,Garden Hill,Row,0.0,0.0,11.0,0.0,11.0,2019
N.B.,Moncton,Central Moncton,Garden Hill,Apt & Other,44.0,341.0,715.0,115.0,1215.0,2019
N.B.,Moncton,West Moncton,West Moncton,Row,,,,,,2019
N.B.,Moncton,West Moncton,West Moncton,Apt & Other,110.0,374.0,612.0,45.0,1141.0,2019
N.B.,Moncton,East Moncton,Sunny Brae,Row,,,,,,2019
N.B.,Moncton,East Moncton,Sunny Brae,Apt & Other,3.0,42.0,270.0,27.0,342.0,2019
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Row,0.0,0.0,14.0,0.0,14.0,2019
N.B.,Moncton,East Moncton,Lewisville/Harrisville,Apt & Other,15.0,105.0,444.0,20.0,584.0,2019
N.B.,Moncton,East Moncton,Humphrey,Row,0.0,4.0,19.0,0.0,23.0,2019
N.B.,Moncton,East Moncton,Humphrey,Apt & Other,33.0,279.0,1251.0,72.0,1635.0,2019
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Row,,,,,,2019
N.B.,Moncton,East Moncton,Magnetic Hill/Irishtown,Apt & Other,,,,,,2019
N.B.,Moncton,North Moncton,Parkton,Row,,,,,,2019
N.B.,Moncton,North Moncton,Parkton,Apt & Other,135.0,545.0,1303.0,86.0,2069.0,2019
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Row,,,,,,2019
N.B.,Moncton,North Moncton,North End/Ryan Road/Hildegarde,Apt & Other,5.0,55.0,436.0,7.0,503.0,2019
N.B.,Moncton,Riverview,Riverview,Row,0.0,1.0,20.0,15.0,36.0,2019
N.B.,Moncton,Riverview,Riverview,Apt & Other,7.0,177.0,1064.0,42.0,1290.0,2019
N.B.,Moncton,Dieppe City,Downtown Dieppe,Row,0.0,0.0,50.0,0.0,50.0,2019
N.B.,Moncton,Dieppe City,Downtown Dieppe,Apt & Other,2.0,186.0,1187.0,20.0,1395.0,2019
N.B.,Moncton,Dieppe City,St. Anselme,Row,0.0,2.0,22.0,6.0,30.0,2019
N.B.,Moncton,Dieppe City,St. Anselme,Apt & Other,0.0,13.0,103.0,0.0,116.0,2019
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Row,,,,,,2019
N.B.,Moncton,Dieppe City,Fox Creek/Lakeburn,Apt & Other,0.0,40.0,271.0,38.0,349.0,2019
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Row,0.0,22.0,0.0,0.0,22.0,2019
N.B.,Moncton,Remainder of CMA,Southern Remainder of Moncton CMA,Apt & Other,1.0,35.0,46.0,9.0,91.0,2019
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Row,0.0,5.0,15.0,0.0,20.0,2019
N.B.,Moncton,Remainder of CMA,Northern Remainder of Moncton CMA,Apt & Other,0.0,0.0,15.0,0.0,15.0,2019
N.B.,Saint John,South,South End,Row,,,,,,2019
N.B.,Saint John,South,South End,Apt & Other,78.0,169.0,163.0,81.0,491.0,2019
N.B.,Saint John,South,Uptown,Row,,,,,,2019
N.B.,Saint John,South,Uptown,Apt & Other,179.0,907.0,875.0,234.0,2195.0,2019
N.B.,Saint John,West,West,Row,0.0,0.0,25.0,158.0,183.0,2019
N.B.,Saint John,West,West,Apt & Other,26.0,286.0,633.0,195.0,1140.0,2019
N.B.,Saint John,North,Indian Town,Row,0.0,0.0,0.0,15.0,15.0,2019
N.B.,Saint John,North,Indian Town,Apt & Other,22.0,245.0,310.0,231.0,808.0,2019
N.B.,Saint John,North,North End,Row,0.0,0.0,0.0,6.0,6.0,2019
N.B.,Saint John,North,North End,Apt & Other,36.0,321.0,791.0,220.0,1368.0,2019
N.B.,Saint John,North,Millidgeville,Row,0.0,0.0,0.0,41.0,41.0,2019
N.B.,Saint John,North,Millidgeville,Apt & Other,6.0,178.0,692.0,56.0,932.0,2019
N.B.,Saint John,East,East,Row,,,,,,2019
N.B.,Saint John,East,East,Apt & Other,41.0,328.0,975.0,221.0,1565.0,2019
N.B.,Saint John,Outlying Areas,Rothesay,Row,,,,,,2019
N.B.,Saint John,Outlying Areas,Rothesay,Apt & Other,1.0,57.0,611.0,17.0,686.0,2019
N.B.,Saint John,Outlying Areas,Quipspamsis,Row,,,,,,2019
N.B.,Saint John,Outlying Areas,Quipspamsis,Apt & Other,0.0,2.0,18.0,1.0,21.0,2019
