Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Row / En
bande",**,',$827,c,$903,b,**,',"$1,114",c
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other /
App. &
autres",$669,b,$855,a,"$1,056",a,$986,a,$953,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,$669,b,$854,a,"$1,054",a,"$1,060",a,$957,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Row / En
bande",**,',$827,c,$903,b,**,',"$1,114",c
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other /
App. &
autres",$669,b,$855,a,"$1,056",a,$986,a,$953,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,Total,$669,b,$854,a,"$1,054",a,"$1,060",a,$957,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Row / En
bande",--,',**,',$740,a,--,',$575,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other /
App. &
autres",$768,a,$791,a,$876,a,$936,a,$848,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,$768,a,$763,a,$873,a,$936,a,$836,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Row / En
bande",--,',**,',$740,a,--,',$575,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other /
App. &
autres",$768,a,$791,a,$876,a,$936,a,$848,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,$768,a,$763,a,$873,a,$936,a,$836,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Row / En
bande",--,',**,',$870,b,**,',$874,b
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other /
App. &
autres",**,',$775,a,$867,b,$702,a,$803,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,**,',$782,a,$868,a,$702,a,$815,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",--,',**,',$870,b,**,',$874,b
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",**,',$775,a,$867,b,$702,a,$803,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Total,**,',$782,a,$868,a,$702,a,$815,a
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Row / En
bande",**,',$624,c,$849,a,**,',$845,b
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Apt &
Other /
App. &
autres",$714,a,$823,a,$966,a,$903,a,$896,a
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,Total,$714,a,$812,a,$960,a,$940,a,$893,a
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Row / En
bande",**,',$624,c,$849,a,**,',$845,b
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Apt &
Other /
App. &
autres",$714,a,$823,a,$966,a,$903,a,$896,a
Nfld.Lab./T.-N.-L.,Total,Total,Total,Total,$714,a,$812,a,$960,a,$940,a,$893,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Row / En
bande",--,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Apt &
Other /
App. &
autres",$987,a,"$1,298",a,"$1,771",a,"$2,182",b,"$1,473",a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Total,$987,a,"$1,298",a,"$1,770",a,"$2,176",b,"$1,474",a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Row / En
bande",**,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Apt &
Other /
App. &
autres",$851,a,"$1,143",a,"$1,583",a,"$1,736",b,"$1,227",a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,Total,$851,a,"$1,143",a,"$1,582",a,"$1,708",b,"$1,227",a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,"Peninsula Southwest ~ Peninsula
(Sud-Ouest)","Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,"Peninsula Southwest ~ Peninsula
(Sud-Ouest)","Apt &
Other /
App. &
autres",$881,c,"$1,085",b,"$1,517",c,"$1,846",d,"$1,370",b
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,"Peninsula Southwest ~ Peninsula
(Sud-Ouest)",Total,$881,c,"$1,085",b,"$1,517",c,"$1,846",d,"$1,370",b
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,"Row / En
bande",**,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,"Apt &
Other /
App. &
autres",$888,a,"$1,203",a,"$1,656",a,"$1,949",b,"$1,337",a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,Total,$888,a,"$1,203",a,"$1,655",a,"$1,938",b,"$1,337",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)","Row / En
bande",--,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)","Apt &
Other /
App. &
autres",$722,b,$892,a,"$1,157",a,"$1,486",b,"$1,047",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)",Total,$722,b,$892,a,"$1,158",a,"$1,486",b,"$1,048",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Row / En
bande",--,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Apt &
Other /
App. &
autres",$785,b,"$1,013",a,"$1,215",b,"$1,310",b,"$1,117",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,Total,$785,b,"$1,015",a,"$1,217",b,"$1,323",b,"$1,120",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,"Row / En
bande",--,',**,',**,',**,',**,'
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,"Apt &
Other /
App. &
autres",$754,a,$951,a,"$1,189",a,"$1,408",a,"$1,083",a
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,Total,Total,$754,a,$953,a,"$1,190",a,"$1,412",a,"$1,085",a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Row / En
bande",--,',--,',--,',"$1,750",a,"$1,750",a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,"Apt &
Other /
App. &
autres",**,',$815,b,$872,a,**,',$857,a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Armdale,Total,**,',$815,b,$872,a,"$1,443",b,$921,b
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Row / En
bande",--,',--,',**,',**,',**,'
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,"Apt &
Other /
App. &
autres",$618,c,$685,a,$833,a,$882,b,$769,a
N.S./N.-É.,Halifax,Mainland South ~ Sud de la partie continentale,Spryfield/Herring Cove,Total,$618,c,$685,a,$833,a,$947,b,$774,a
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Row / En
bande",--,',--,',**,',"$1,670",a,"$1,596",a
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,"Apt &
Other /
App. &
autres",$642,b,$696,a,$838,a,$897,b,$779,a
N.S./N.-É.,Halifax,"Mainland South ~ Sud de la partie
continentale",Total,Total,$642,b,$696,a,$839,a,"$1,050",b,$792,a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Row / En
bande",--,',--,',**,',"$1,663",a,"$1,663",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,"Apt &
Other /
App. &
autres",**,',$731,b,"$1,384",d,**,',**,'
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairmount,Total,**,',$731,b,"$1,384",d,"$1,670",a,**,'
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Row / En
bande",--,',--,',"$1,247",b,--,',"$1,247",b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,"Apt &
Other /
App. &
autres",**,',$993,a,"$1,335",a,"$1,473",a,"$1,252",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Fairview,Total,**,',$993,a,"$1,334",a,"$1,473",a,"$1,252",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Row / En
bande",--,',**,',**,',"$1,446",b,"$1,291",b
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,"Apt &
Other /
App. &
autres",$770,a,$895,a,"$1,094",a,"$1,381",a,"$1,066",a
N.S./N.-É.,Halifax,"Mainland North ~ Nord de la partie
continentale",Clayton Park/Rockingham,Total,$770,a,$894,a,"$1,093",a,"$1,388",a,"$1,070",a
