Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,,833.0,856.0,,1117.0,2020
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,688.0,864.0,1058.0,1017.0,959.0,2020
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,,,751.0,,583.0,2020
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,781.0,791.0,902.0,964.0,864.0,2020
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,,,961.0,,957.0,2020
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,,741.0,816.0,742.0,775.0,2020
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,,,,,,2020
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,1104.0,1462.0,2002.0,2409.0,1707.0,2020
N.S.,Halifax,Peninsula South,South End,Row,,,,,,2020
N.S.,Halifax,Peninsula South,South End,Apt & Other,887.0,1208.0,1645.0,1840.0,1280.0,2020
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,,,,,,2020
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,860.0,1127.0,1395.0,,1292.0,2020
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,,,,,,2020
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,787.0,960.0,1231.0,1526.0,1123.0,2020
N.S.,Halifax,Peninsula North,North End,Row,,,,,,2020
N.S.,Halifax,Peninsula North,North End,Apt & Other,866.0,1123.0,1297.0,1402.0,1212.0,2020
N.S.,Halifax,Mainland South,Armdale,Row,,,,,,2020
N.S.,Halifax,Mainland South,Armdale,Apt & Other,,838.0,1246.0,,1166.0,2020
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,,,,,,2020
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,568.0,735.0,1010.0,1146.0,915.0,2020
N.S.,Halifax,Mainland North,Fairmount,Row,,,,1771.0,1771.0,2020
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,,744.0,1193.0,,1081.0,2020
N.S.,Halifax,Mainland North,Fairview,Row,,,,,,2020
N.S.,Halifax,Mainland North,Fairview,Apt & Other,,1061.0,1268.0,1457.0,1232.0,2020
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,,,,1597.0,1376.0,2020
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,823.0,932.0,1163.0,1433.0,1114.0,2020
N.S.,Halifax,Mainland North,Bedford South,Row,,,,,,2020
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,,1100.0,1407.0,1606.0,1350.0,2020
N.S.,Halifax,Dartmouth North,Wyse Road,Row,,,,,,2020
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,703.0,879.0,1047.0,,985.0,2020
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,,,,,,2020
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,,992.0,1123.0,1257.0,1090.0,2020
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,,,,,896.0,2020
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,606.0,729.0,894.0,1063.0,810.0,2020
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,,,,,,2020
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,598.0,883.0,957.0,1015.0,930.0,2020
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,,,,,,2020
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,,1069.0,1535.0,1627.0,1432.0,2020
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,,,,,,2020
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,,,1550.0,,1436.0,2020
