Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Row / En
bande",1,22,16,16,55
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other /
App. &
autres",203,641,"1,015",107,"1,966"
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,204,663,"1,031",123,"2,021"
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Row / En
bande",1,22,16,16,55
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other /
App. &
autres",203,641,"1,015",107,"1,966"
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,Total,204,663,"1,031",123,"2,021"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Row / En
bande",0,46,21,0,67
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other /
App. &
autres",149,427,859,126,"1,561"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,149,473,880,126,"1,628"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Row / En
bande",0,46,21,0,67
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other /
App. &
autres",149,427,859,126,"1,561"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,149,473,880,126,"1,628"
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Row / En
bande",0,0,64,6,70
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other /
App. &
autres",7,147,182,63,399
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,7,147,246,69,469
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",0,0,64,6,70
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",7,147,182,63,399
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Total,7,147,246,69,469
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Row / En
bande",1,68,101,22,192
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Apt &
Other /
App. &
autres",359,"1,215","2,056",296,"3,926"
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,Total,360,"1,283","2,157",318,"4,118"
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Row / En
bande",1,68,101,22,192
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Apt &
Other /
App. &
autres",359,"1,215","2,056",296,"3,926"
Nfld.Lab./T.-N.-L.,Total,Total,Total,Total,360,"1,283","2,157",318,"4,118"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Row / En
bande",0,4,2,5,11
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Apt &
Other /
App. &
autres",318,"1,683","1,088",220,"3,309"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Total,318,"1,687","1,090",225,"3,320"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Row / En
bande",8,4,4,8,24
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Apt &
Other /
App. &
autres",918,"2,342","1,283",145,"4,688"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,Total,926,"2,346","1,287",153,"4,712"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,"Peninsula Southwest ~ Peninsula
(Sud-Ouest)","Row / En
bande",--,--,--,--,--
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,"Peninsula Southwest ~ Peninsula
(Sud-Ouest)","Apt &
Other /
App. &
autres",132,430,330,167,"1,059"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,"Peninsula Southwest ~ Peninsula
(Sud-Ouest)",Total,132,430,330,167,"1,059"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,"Row / En
bande",8,8,6,13,35
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,"Apt &
Other /
App. &
autres","1,368","4,455","2,701",532,"9,056"
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Total,Total,"1,376","4,463","2,707",545,"9,091"
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)","Row / En
bande",0,7,16,21,44
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)","Apt &
Other /
App. &
autres",285,"1,235","1,672",233,"3,425"
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,"Peninsula Northwest ~ Peninsula
(Nord-Ouest)",Total,285,"1,242","1,688",254,"3,469"
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Row / En
bande",0,5,2,2,9
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,"Apt &
Other /
App. &
autres",211,"1,006","1,641",199,"3,057"
N.S./N.-É.,Halifax,Peninsula North ~ Nord de la péninsule,North End,Total,211,"1,011","1,643",201,"3,066"
