Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,1.0,21.0,18.0,17.0,57.0,2022
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,230.0,708.0,1066.0,106.0,2110.0,2022
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,47.0,20.0,0.0,67.0,2022
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,210.0,474.0,862.0,123.0,1669.0,2022
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,4.0,83.0,6.0,93.0,2022
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,7.0,141.0,181.0,62.0,391.0,2022
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,8.0,4.0,5.0,17.0,2022
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,336.0,2153.0,1721.0,222.0,4432.0,2022
N.S.,Halifax,Peninsula South,South End,Row,0.0,12.0,4.0,4.0,20.0,2022
N.S.,Halifax,Peninsula South,South End,Apt & Other,916.0,2385.0,1343.0,155.0,4799.0,2022
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,,,,,,2022
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,128.0,469.0,622.0,178.0,1397.0,2022
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,7.0,16.0,21.0,44.0,2022
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,284.0,1241.0,1641.0,259.0,3425.0,2022
N.S.,Halifax,Peninsula North,North End,Row,0.0,5.0,6.0,2.0,13.0,2022
N.S.,Halifax,Peninsula North,North End,Apt & Other,241.0,1215.0,1801.0,216.0,3473.0,2022
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,20.0,20.0,2022
N.S.,Halifax,Mainland South,Armdale,Apt & Other,22.0,72.0,254.0,13.0,361.0,2022
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,0.0,0.0,12.0,13.0,25.0,2022
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,40.0,895.0,1317.0,180.0,2432.0,2022
N.S.,Halifax,Mainland North,Fairmount,Row,0.0,0.0,8.0,16.0,24.0,2022
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,7.0,121.0,256.0,9.0,393.0,2022
N.S.,Halifax,Mainland North,Fairview,Row,0.0,0.0,23.0,0.0,23.0,2022
N.S.,Halifax,Mainland North,Fairview,Apt & Other,29.0,540.0,1338.0,126.0,2033.0,2022
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,0.0,19.0,52.0,141.0,212.0,2022
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,356.0,2674.0,5822.0,1099.0,9951.0,2022
N.S.,Halifax,Mainland North,Bedford South,Row,,,,,,2022
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,22.0,699.0,1838.0,363.0,2922.0,2022
N.S.,Halifax,Dartmouth North,Wyse Road,Row,0.0,2.0,7.0,2.0,11.0,2022
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,40.0,464.0,718.0,31.0,1253.0,2022
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,0.0,0.0,0.0,3.0,3.0,2022
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,14.0,485.0,817.0,146.0,1462.0,2022
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,1.0,19.0,7.0,14.0,41.0,2022
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,125.0,2155.0,1754.0,123.0,4157.0,2022
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,,,,,,2022
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,42.0,963.0,1166.0,280.0,2451.0,2022
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,6.0,6.0,2022
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,24.0,250.0,694.0,57.0,1025.0,2022
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,,,,,,2022
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,4.0,147.0,699.0,19.0,869.0,2022
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Row,0.0,2.0,6.0,15.0,23.0,2022
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Apt & Other,8.0,319.0,761.0,177.0,1265.0,2022
N.S.,Halifax,Dartmouth East,Cole Harbour,Row,,,,,,2022
N.S.,Halifax,Dartmouth East,Cole Harbour,Apt & Other,4.0,22.0,323.0,10.0,359.0,2022
N.S.,Halifax,Bedford,Bedford,Row,0.0,0.0,5.0,10.0,15.0,2022
N.S.,Halifax,Bedford,Bedford,Apt & Other,28.0,274.0,1420.0,247.0,1969.0,2022
N.S.,Halifax,Sackville,Sackville,Row,0.0,0.0,35.0,54.0,89.0,2022
N.S.,Halifax,Sackville,Sackville,Apt & Other,3.0,249.0,1011.0,166.0,1429.0,2022
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Row,0.0,0.0,3.0,0.0,3.0,2022
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Apt & Other,0.0,67.0,247.0,0.0,314.0,2022
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Row,0.0,6.0,96.0,29.0,131.0,2022
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Apt & Other,95.0,126.0,1995.0,23.0,2239.0,2022
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Row,0.0,0.0,4.0,0.0,4.0,2022
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Apt & Other,0.0,1.0,14.0,7.0,22.0,2022
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Row,0.0,0.0,3.0,0.0,3.0,2022
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Apt & Other,29.0,45.0,165.0,2.0,241.0,2022
N.S.,Halifax,Remainder of CMA,Halifax County East,Row,0.0,2.0,23.0,4.0,29.0,2022
N.S.,Halifax,Remainder of CMA,Halifax County East,Apt & Other,0.0,2.0,20.0,0.0,22.0,2022
N.B.,Moncton,Central Moncton,Downtown Moncton,Row,1.0,4.0,8.0,2.0,15.0,2022
