Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,,,,,,2018
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,,3.9,6.4,5.2,5.6,2018
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,,,0.0,,1.5,2018
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,3.9,6.1,6.1,,6.2,2018
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,,,,,,2018
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,,4.5,,,,2018
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,,,,,,2018
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,0.7,1.1,1.1,1.4,1.1,2018
N.S.,Halifax,Peninsula South,South End,Row,,,,,,2018
N.S.,Halifax,Peninsula South,South End,Apt & Other,1.2,0.8,1.4,1.2,1.1,2018
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,,,,,,2018
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,1.6,1.1,0.7,,1.1,2018
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,,,,,2.3,2018
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,0.6,1.1,0.8,,1.1,2018
N.S.,Halifax,Peninsula North,North End,Row,,,,,,2018
N.S.,Halifax,Peninsula North,North End,Apt & Other,0.0,0.2,1.6,,1.1,2018
N.S.,Halifax,Mainland South,Armdale,Row,,,,0.0,0.0,2018
N.S.,Halifax,Mainland South,Armdale,Apt & Other,,,0.4,,0.3,2018
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,,,,,,2018
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,0.0,1.2,1.6,1.1,1.4,2018
N.S.,Halifax,Mainland North,Fairmount,Row,,,,0.0,,2018
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,,,,,,2018
N.S.,Halifax,Mainland North,Fairview,Row,,,,,,2018
N.S.,Halifax,Mainland North,Fairview,Apt & Other,,2.8,1.4,0.0,1.7,2018
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,,,,0.7,0.5,2018
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,1.4,0.9,0.7,0.5,0.8,2018
N.S.,Halifax,Mainland North,Bedford South,Row,,,,,,2018
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,,0.7,1.5,0.8,1.2,2018
N.S.,Halifax,Dartmouth North,Wyse Road,Row,,,,,,2018
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,,0.5,,0.0,1.5,2018
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,,,,,,2018
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,,0.3,0.4,0.0,0.6,2018
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,,,,5.9,,2018
