Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Row / En
bande",**,,$844,c,$903,b,**,,"$1,105",c
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other /
App. &
autres",$704,a,$952,a,"$1,131",a,"$1,048",a,"$1,035",a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,$704,a,$948,a,"$1,128",a,"$1,119",b,"$1,037",a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Row / En
bande",**,,$844,c,$903,b,**,,"$1,105",c
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other /
App. &
autres",$704,a,$952,a,"$1,131",a,"$1,048",a,"$1,035",a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,Total,$704,a,$948,a,"$1,128",a,"$1,119",b,"$1,037",a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Row / En
bande",--,,**,,$762,a,--,,$594,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other /
App. &
autres",$793,a,$804,a,$906,a,$979,a,$876,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,$793,a,$769,a,$902,a,$979,a,$862,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Row / En
bande",--,,**,,$762,a,--,,$594,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other /
App. &
autres",$793,a,$804,a,$906,a,$979,a,$876,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,$793,a,$769,a,$902,a,$979,a,$862,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Row / En
bande",--,,**,,$910,c,**,,$914,b
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other /
App. &
autres",**,,$700,a,$910,a,$782,b,$823,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,**,,$719,b,$910,a,$782,b,$843,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",--,,**,,$910,c,**,,$914,b
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",**,,$700,a,$910,a,$782,b,$823,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Total,**,,$719,b,$910,a,$782,b,$843,a
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Row / En
bande",**,,$645,c,$882,b,**,,$863,b
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Apt &
Other /
App. &
autres",$742,a,$873,a,"$1,026",a,$957,a,$954,a
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,Total,$742,a,$856,a,"$1,018",a,$995,a,$949,a
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Row / En
bande",**,,$645,c,$882,b,**,,$863,b
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Apt &
Other /
App. &
autres",$742,a,$873,a,"$1,026",a,$957,a,$954,a
Nfld.Lab./T.-N.-L.,Total,Total,Total,Total,$742,a,$856,a,"$1,018",a,$995,a,$949,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Apt &
Other /
App. &
autres","$1,099",a,"$1,381",a,"$1,892",b,"$2,264",c,"$1,564",a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Total,"$1,099",a,"$1,381",a,"$1,892",b,"$2,264",c,"$1,564",a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Row / En
bande",--,,**,,**,,**,,**,
