Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total 
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Row / En
bande",1,22,18,17,58
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other /
App. &
autres",195,661,"1,011",106,"1,973"
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,196,683,"1,029",123,"2,031"
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Row / En
bande",1,22,18,17,58
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other /
App. &
autres",195,661,"1,011",106,"1,973"
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,Total,196,683,"1,029",123,"2,031"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Row / En
bande",0,46,21,0,67
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other /
App. &
autres",148,424,858,125,"1,555"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,148,470,879,125,"1,622"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Row / En
bande",0,46,21,0,67
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other /
App. &
autres",148,424,858,125,"1,555"
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,148,470,879,125,"1,622"
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Row / En
bande",0,3,72,6,81
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other /
App. &
autres",7,147,182,63,399
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,7,150,254,69,480
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",0,3,72,6,81
