Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,1.0,22.0,18.0,17.0,58.0,2020
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,197.0,669.0,1022.0,107.0,1995.0,2020
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,48.0,21.0,0.0,69.0,2020
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,148.0,427.0,858.0,125.0,1558.0,2020
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,4.0,79.0,6.0,89.0,2020
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,7.0,146.0,183.0,62.0,398.0,2020
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,8.0,4.0,5.0,17.0,2020
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,344.0,2108.0,1489.0,229.0,4170.0,2020
N.S.,Halifax,Peninsula South,South End,Row,8.0,4.0,4.0,4.0,20.0,2020
N.S.,Halifax,Peninsula South,South End,Apt & Other,918.0,2380.0,1293.0,145.0,4736.0,2020
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,,,,,,2020
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,130.0,453.0,331.0,182.0,1096.0,2020
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,7.0,16.0,21.0,44.0,2020
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,286.0,1294.0,1605.0,253.0,3438.0,2020
N.S.,Halifax,Peninsula North,North End,Row,0.0,5.0,2.0,2.0,9.0,2020
N.S.,Halifax,Peninsula North,North End,Apt & Other,241.0,1225.0,1750.0,210.0,3426.0,2020
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,20.0,20.0,2020
N.S.,Halifax,Mainland South,Armdale,Apt & Other,22.0,72.0,254.0,13.0,361.0,2020
