Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Row,**,',**,',**,',**,',**,'
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other",4.50%,d,3.60%,c,2.50%,b,**,',3.20%,b
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,4.50%,d,4.00%,c,2.90%,b,**,',3.70%,b
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,Row,**,',**,',**,',**,',**,'
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other",4.50%,d,3.60%,c,2.50%,b,**,',3.20%,b
Nfld.Lab.,St. John's,St. John's East ~ St. John's Est,Total,Total,4.50%,d,4.00%,c,2.90%,b,**,',3.70%,b
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Row,--,',**,',0.00%,a,--,',0.00%,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other",7.40%,b,2.80%,a,0.90%,a,3.00%,c,2.50%,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,7.40%,b,2.50%,a,0.90%,a,3.00%,c,2.40%,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,Row,--,',**,',0.00%,a,--,',0.00%,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other",7.40%,b,2.80%,a,0.90%,a,3.00%,c,2.50%,a
Nfld.Lab.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,7.40%,b,2.50%,a,0.90%,a,3.00%,c,2.40%,a
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Row,--,',**,',0.00%,d,**,',0.00%,d
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other",**,',3.70%,c,**,',0.00%,d,2.90%,c
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,**,',3.50%,c,**,',0.00%,d,2.40%,c
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Row,--,',**,',0.00%,d,**,',0.00%,d
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other",**,',3.70%,c,**,',0.00%,d,2.90%,c
Nfld.Lab.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Total,**,',3.50%,c,**,',0.00%,d,2.40%,c
Nfld.Lab.,St. John's,Total,Total,Row,**,',**,',**,',**,',5.60%,d
Nfld.Lab.,St. John's,Total,Total,"Apt &
Other",6.40%,b,3.30%,b,1.80%,b,3.10%,d,2.90%,a
Nfld.Lab.,St. John's,Total,Total,Total,6.40%,b,3.40%,b,1.90%,a,3.80%,d,3.00%,b
Nfld.Lab.,Total,Total,Total,Row,**,',**,',**,',**,',5.60%,d
