Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,219.3,214.4,207.7,198.1,232.1,205.9,400300,445600,382600,490000,296800,239000
Feb 2018,220.1,215.2,208.6,198.6,233.2,205.1,401600,447200,384200,491400,298200,238100
Mar 2018,220,215,209.1,198.1,234.3,204.2,401500,446800,385100,490200,299700,237100
Apr 2018,220,214.8,209,197.9,234.6,205.2,401500,446400,385000,489600,300100,238200
May 2018,219.5,214.1,208.3,197.3,234.7,206.1,400500,444800,383600,488000,300200,239300
Jun 2018,219,213.2,207.2,196.6,235.6,207,399600,443100,381700,486400,301300,240300
Jul 2018,218,211.9,206.1,195.4,235.6,207.8,397900,440400,379600,483500,301300,241300
Aug 2018,217.2,211.2,205.3,194.7,234.5,206.2,396300,438800,378100,481700,299900,239400
Sep 2018,216.2,210.2,204.8,193.5,232.8,205.8,394500,436800,377200,478700,297800,238900
Oct 2018,216.5,210.7,205.9,193.7,232.3,204,395100,437900,379200,479200,297100,236800
Nov 2018,216.3,210.8,205.4,193.9,231.3,202.5,394700,438100,378300,479700,295800,235100
Dec 2018,215.8,210.2,204.2,193.7,231.7,202.6,393900,436800,376100,479300,296300,235200
Jan 2019,214.4,208.4,203.9,191.4,229.6,203.5,391300,433100,375500,473400,293600,236300
Feb 2019,213.3,207.2,201.7,190.6,228.4,203.1,389200,430500,371500,471500,292100,235800
Mar 2019,212.6,206.6,200.5,190.4,226.9,202.5,388000,429300,369400,471000,290200,235100
Apr 2019,212.4,206.5,200.1,190.5,226.7,201.1,387600,429200,368600,471300,289900,233500
May 2019,212.2,206.4,199.5,190.7,225.9,201.1,387200,428900,367500,471700,288900,233500
Jun 2019,212.1,206.4,199.6,190.8,225,199.2,387000,429000,367600,472000,287800,231300
Jul 2019,211.8,206.3,199.5,190.6,225.8,198.4,386500,428600,367500,471500,288800,230300
Aug 2019,212.2,206.7,199.7,191.1,226,197.7,387200,429500,367800,472800,289100,229500
Sep 2019,212.9,207.6,200.1,192.2,225.6,198.7,388500,431400,368500,475400,288600,230700
Oct 2019,213.1,207.9,200.5,192.2,225.8,200.8,388900,432100,369400,475500,288800,233100
Nov 2019,212.9,207.6,200.9,191.6,226.7,200.6,388600,431400,370100,474000,290000,232900
Dec 2019,213,207.6,200.8,191.6,227.4,200.4,388700,431300,369800,474000,290800,232700
Jan 2020,212.9,207.5,200.5,191.6,227.2,199.2,388500,431100,369300,474100,290600,231300
Feb 2020,211.6,206.1,199.9,189.9,226,198,386100,428300,368300,469800,289000,229900
Mar 2020,210,204.7,198.6,188.6,223.5,196.8,383300,425400,365900,466700,285900,228500
Apr 2020,207.3,202.2,195.9,186.6,219.9,193.5,378400,420200,360900,461700,281200,224600
May 2020,206.5,201.7,195.7,186.1,218.3,190,376800,419100,360400,460400,279200,220600
Jun 2020,206.7,202,196,186.4,218.1,188.1,377200,419800,361100,461200,278900,218400
Jul 2020,209.2,204.5,198.4,188.6,218.7,189.9,381700,424900,365500,466600,279700,220500
Aug 2020,211.8,206.9,201.1,190.5,221.5,192.4,386500,429900,370400,471300,283300,223400
Sep 2020,214.4,209.3,204,192.4,224,193.1,391200,435000,375700,476100,286500,224200
Oct 2020,216.4,211.4,205,194.2,228.9,194.6,395000,439300,377700,480500,292800,225900
Nov 2020,219.1,213.8,207.4,196.8,228.3,196,399800,444300,382000,487000,292000,227600
Dec 2020,220,214.8,209,197.3,228.6,195.9,401500,446300,384900,488000,292400,227400
