Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,261.3,266,244.1,273.1,243.1,276,788300,1022800,722000,1323900,602400,535800
Feb 2018,260,263.2,242.6,269.7,245.1,278.1,784300,1011900,717700,1307100,607300,539700
Mar 2018,258.1,259.3,241.1,265.2,247.2,280.5,778600,996900,713200,1285500,612600,544500
Apr 2018,256.2,257.3,239.8,263.1,247.2,280.3,772900,989400,709200,1275100,612600,544000
May 2018,254.4,254.9,238.8,260.1,247.6,280.6,767600,980100,706500,1260700,613600,544700
Jun 2018,253.2,253.9,237.8,259.7,247.4,279.5,764000,976100,703500,1258600,613100,542600
Jul 2018,251.9,252.1,237.4,257.6,246.9,280.1,760000,969500,702200,1248400,611700,543700
Aug 2018,249.9,250.6,236.2,256.3,245.5,277.2,753800,963700,698600,1242300,608400,538000
Sep 2018,247.8,248.5,236.2,253.3,244.8,274.8,747600,955500,698600,1227700,606500,533400
Oct 2018,246.3,246.9,234.7,251.4,243.5,274.3,743100,949400,694200,1218500,603400,532400
Nov 2018,243.3,244.1,232.7,248.6,242.7,269.7,734000,938500,688200,1204900,601400,523500
Dec 2018,240.4,240.7,229,246.2,239.6,269,725300,925400,677300,1193100,593800,522100
Jan 2019,236.4,236.1,226.4,240.8,237.5,266,713100,907800,669700,1167100,588500,516300
Feb 2019,231.8,231.3,221.3,236.8,234.5,261.6,699400,889300,654700,1148000,581000,507700
Mar 2019,228.3,227.9,219.7,232.9,232,258.4,688900,876100,650000,1128700,575000,501600
Apr 2019,226.5,225.9,218.2,230.7,232.2,256.7,683400,868700,645300,1118100,575300,498200
May 2019,224.8,224.7,218.1,228.7,231.3,254.2,678300,863900,645200,1108300,573100,493400
Jun 2019,224.5,224.5,218.1,228.6,230.7,253.7,677200,863300,645000,1108000,571600,492500
Jul 2019,225.2,225.5,219.3,229.2,231.4,254,679300,866900,648700,1110800,573300,493100
Aug 2019,226.7,227.4,220.6,231.2,233.5,255.1,684100,874400,652500,1120700,578700,495200
Sep 2019,229,230.1,222.5,234.3,234.7,257.5,690900,884900,658200,1135800,581700,499900
Oct 2019,230.7,232.8,224.4,236.8,235.8,258.6,696100,895000,663800,1147600,584300,502000
Nov 2019,232.6,234.4,226.1,237.9,237,262,701900,901200,668800,1153200,587200,508500
Dec 2019,233.8,235.5,227.3,238.9,239,263.8,705400,905400,672400,1157900,592300,512100
Jan 2020,234.6,236,226.2,240.4,240.8,264.9,707800,907500,669100,1165000,596700,514200
Feb 2020,235,236.2,227.5,239.6,240,266.4,709100,908200,673000,1161100,594600,517000
Mar 2020,232.8,234.4,224.6,238.6,237.3,263.3,702500,901100,664400,1156300,588100,511000
Apr 2020,231.6,233.8,224.4,237.8,235.1,260.9,698600,899000,663800,1152500,582500,506400
May 2020,232,234.4,224.5,238.5,235.1,261.1,699900,901100,664100,1155800,582700,506700
Jun 2020,234,237,227.6,240.5,237.4,261.6,706100,911300,673100,1165500,588200,507800
Jul 2020,237.7,241.8,232,245.1,240.9,262.7,717100,929700,686400,1187800,596900,509900
Aug 2020,242.6,247.6,237.9,250,244.5,266,731900,951900,703800,1211800,605900,516400
Sep 2020,246.7,252.6,243.3,254.6,248.1,268.2,744400,971400,719800,1234200,614700,520600
Oct 2020,250.1,256.9,247.9,257.9,251,269,754600,987600,733400,1250100,621900,522200
Nov 2020,253.4,261.2,252.3,261.9,253.4,270,764500,1004400,746200,1269300,627900,524000
Dec 2020,256.9,266,257.8,265.7,256.8,271.9,775100,1022600,762500,1288000,636300,527700
Jan 2021,260.3,271.2,263.6,270.2,258.3,273,785300,1042900,779600,1309600,640000,529900
Feb 2021,266.1,279,272.7,276.3,263.4,275.1,802800,1072800,806500,1339300,652600,533900
Mar 2021,274.2,289.2,282.2,286.1,271.9,279.1,827400,1112000,834600,1386800,673800,541700
Apr 2021,281.5,297.3,290.5,293.3,279.7,284.8,849300,1143300,859400,1421500,693100,552800
May 2021,287,304.2,297,299.7,285.9,286.5,866000,1169700,878400,1452700,708500,556100
Jun 2021,291.4,308.4,302.4,302.9,292.5,290.1,879200,1185900,894400,1468200,724800,563000
