Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,206.9,192.2,191.6,187.4,181,206.6,431900,480100,413200,518800,326800,262800
Feb 2018,207.3,192.7,192.3,187.7,181.3,205.3,432600,481400,414800,519800,327400,261100
Mar 2018,207.7,192.9,192.8,187.6,182.9,203.7,433400,481900,415900,519500,330400,259100
Apr 2018,207.3,192.4,192.5,187.4,183.8,204.4,432600,480700,415300,518900,332000,260000
May 2018,206.8,191.6,192.5,186.2,184.3,204.9,431500,478600,415200,515600,332800,260600
Jun 2018,206.3,190.8,191.6,185.3,185.4,207.1,430500,476700,413300,513200,334800,263400
Jul 2018,205.5,189.8,190.6,184.5,185.3,207.7,428900,474100,411100,510800,334600,264200
Aug 2018,204.6,189,190,183.6,184.2,206.8,427000,472000,409800,508300,332700,263000
Sep 2018,203.7,188.2,189.7,182.6,182.9,206.3,425200,470100,409100,505700,330400,262400
Oct 2018,204.2,188.9,190.3,183.2,183.2,204.6,426100,471800,410500,507300,330900,260200
Nov 2018,204,189,190.3,183.3,182.3,203.9,425700,472100,410500,507600,329300,259300
Dec 2018,203.2,187.8,189,182.2,183.6,203.9,424100,469100,407600,504500,331500,259400
Jan 2019,202,186.5,189.1,180.3,181.1,205.5,421600,465800,407800,499200,327100,261400
Feb 2019,200.7,185.1,186.4,179.4,179.8,205.7,418900,462500,402100,496800,324800,261600
Mar 2019,199.7,184.2,185.1,178.8,178.5,205.1,416700,460200,399200,495200,322300,260900
Apr 2019,199.7,184.4,184.7,179.2,178.1,203.8,416800,460700,398500,496300,321700,259200
May 2019,199.5,184.5,184.2,179.5,177.5,203.3,416400,460800,397400,497100,320600,258600
Jun 2019,199.3,184.8,184.7,179.8,175.9,200,416000,461700,398500,497900,317600,254400
Jul 2019,199.6,184.8,184.8,179.9,177.2,200.6,416500,461700,398600,498100,320100,255100
Aug 2019,200,185.4,185.1,180.6,177.2,200,417300,463100,399200,500200,320000,254400
Sep 2019,200.7,186.1,186,181.3,177.5,200.9,418800,465000,401300,502000,320500,255500
Oct 2019,200.6,186.1,186.9,180.9,176.8,203.6,418600,464900,403100,500900,319300,259000
Nov 2019,200.1,185.6,187,180,177.9,203,417700,463700,403300,498500,321300,258200
Dec 2019,200.5,185.9,186.6,180.5,179.2,203,418500,464400,402500,499900,323600,258200
Jan 2020,200.1,185.7,186.9,180.1,178.4,200.5,417700,463900,403200,498800,322200,255000
Feb 2020,199.3,184.9,186.4,179,178,200,416000,461900,402000,495700,321400,254400
Mar 2020,197.7,183.5,185.1,177.9,175.9,199.4,412600,458300,399300,492500,317700,253700
Apr 2020,195.4,181.6,182.8,176.2,172.5,196.2,407900,453600,394200,488000,311600,249600
May 2020,194.6,181.1,182.2,175.9,171.5,192.4,406200,452500,393000,487100,309800,244700
Jun 2020,193.8,180.6,181.6,175.4,171.3,189.9,404400,451200,391700,485600,309400,241500
Jul 2020,196.8,183.2,183.8,178.1,172.3,193.1,410700,457600,396500,493100,311200,245600
Aug 2020,199,185.1,186.4,179.6,174.1,195.8,415400,462300,402100,497300,314400,249100
