Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,202.6,198.8,196.8,184.7,199.3,183.8,354500,396700,350100,440200,239200,206200
Feb 2018,203.7,199.9,197.4,186.1,201.7,183.6,356400,398800,351100,443400,242000,206000
Mar 2018,203.3,199.3,197.6,184.8,201,184.5,355700,397600,351500,440400,241200,207000
Apr 2018,202.9,198.8,198,183.2,199.4,185.7,355000,396700,352300,436600,239300,208300
May 2018,203,198.7,196.2,184.9,198.4,187.3,355300,396500,349100,440600,238100,210200
Jun 2018,202.3,198.1,195.1,184.6,197,185.9,354100,395200,347100,439900,236400,208600
Jul 2018,201.6,197,194.4,183.3,198.1,187.1,352800,393000,345800,436900,237700,209900
Aug 2018,201.2,196.6,193.5,183.3,197.6,184.2,352100,392300,344200,436800,237100,206700
Sep 2018,200.2,195.6,192.9,181.9,196.2,183.6,350400,390200,343100,433400,235400,206000
Oct 2018,200.2,195.9,194.3,181.2,192.9,181.4,350400,390900,345700,431800,231500,203500
Nov 2018,200.1,196,193.5,181.8,193.3,178.8,350100,391000,344300,433200,231900,200600
Dec 2018,200.4,196.4,192.7,182.9,192.2,178.5,350700,391800,342900,435800,230600,200300
Jan 2019,198.7,194.4,192,180.5,191.3,178.5,347700,387800,341600,430100,229600,200300
Feb 2019,197.8,193.3,189.9,180.1,191.6,177.5,346100,385600,337900,429200,229900,199200
Mar 2019,197.7,193.4,189.7,180.4,190.7,176.7,346000,385900,337500,430000,228800,198300
Apr 2019,197.4,193.1,189.2,179.8,190.7,175.1,345400,385200,336500,428400,228800,196500
May 2019,197.1,192.8,188.5,180.2,190.6,175.9,345000,384600,335300,429500,228700,197400
Jun 2019,196.7,192.1,188,179.6,191.8,176.5,344300,383300,334400,427900,230100,198000
Jul 2019,196.5,192,188,179.4,191.2,173.4,343800,383100,334400,427600,229400,194600
Aug 2019,196.7,192.3,188.2,179.6,191.8,172.2,344200,383700,334800,428000,230100,193200
Sep 2019,197.2,193,187.7,181.1,190.5,173.1,345100,385100,333900,431500,228600,194200
