Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,295.8,314.8,293.7,311.5,279.8,294.4,1062500,1705900,1245100,1882200,821400,652900
Feb 2018,293,310.1,289.5,306.9,282.4,295.5,1052400,1680500,1227300,1854600,829200,655500
Mar 2018,290,303.9,283.8,300.8,284.8,298,1041600,1646900,1203100,1818000,836100,661000
Apr 2018,286.6,300,281.8,297.1,286.1,298,1029400,1625500,1194700,1795100,840100,660900
May 2018,283.8,296.5,279.9,293.1,284.6,298,1019500,1606600,1186700,1771400,835600,661000
Jun 2018,282.2,295.7,275.6,293.7,284.8,296.4,1013800,1602300,1168200,1774900,836300,657500
Jul 2018,280.8,293.4,274.6,291.2,283.5,298.4,1008600,1589800,1163900,1760000,832300,661900
Aug 2018,278.4,291.8,271.6,290.2,282.7,295.4,999900,1581300,1151300,1753500,830100,655200
Sep 2018,275.5,288.9,272.2,286.5,282.4,292.9,989500,1565800,1153700,1731500,829200,649600
Oct 2018,274.2,288,270.6,285,282,292.5,984800,1560600,1147200,1722300,828000,648800
Nov 2018,270.1,284.6,269.3,281.3,279.6,287,970300,1542300,1141500,1699800,820800,636500
Dec 2018,267.7,281.1,262.3,279.3,275.9,288.4,961700,1523500,1111800,1687600,809900,639700
Jan 2019,261.1,273.1,254.4,271.8,272.6,284.6,938000,1480000,1078300,1642500,800400,631300
Feb 2019,255.8,268.6,247.4,267.7,268.2,280.7,919000,1455600,1048700,1617900,787500,622700
Mar 2019,251.9,266.2,244.8,265.4,263.3,276.4,904700,1442300,1037900,1603900,773100,613100
Apr 2019,249.4,263.8,244.5,262.3,263.2,274.2,895800,1429700,1036300,1584900,772900,608100
May 2019,246.7,261.7,244.5,259.4,263.7,270.6,886300,1418200,1036300,1567600,774100,600300
Jun 2019,246.4,261.7,247.7,258.6,263,270.3,885000,1418000,1050100,1562500,772200,599500
Jul 2019,246.4,261.3,246.8,258.2,263.3,270.4,885000,1415800,1046200,1560200,773100,599800
Aug 2019,248.3,263.1,249.1,259.7,265.9,272.1,891900,1426000,1055800,1569200,780700,603600
Sep 2019,250.6,265.3,251.6,261.6,266.4,275.1,900100,1437900,1066400,1580800,782100,610100
Oct 2019,252.8,269,254.5,264.7,267.8,276.5,908100,1457700,1078900,1599700,786400,613200
Nov 2019,255.4,270.4,256.2,265.7,270,279.8,917300,1465300,1086100,1605900,792600,620700
Dec 2019,257.3,272.3,256.7,267.8,274.2,281.8,924100,1475600,1088100,1618500,805100,625000
