Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,155.4,156.3,157.1,155.9,164.3,140.1,273500,277000,231200,316100,272300,238900
Feb 2018,157.2,158.6,156.6,159,161.4,139.7,276600,281000,230500,322400,267500,238200
Mar 2018,156.8,158.1,164,155,152.9,145.6,275900,280100,241400,314300,253300,248300
Apr 2018,156,157.6,160.3,156.1,151.3,141.5,274500,279300,236000,316500,250700,241300
May 2018,157.2,158.6,160.5,157,155,146.1,276600,281100,236300,318400,256900,249100
Jun 2018,157,158.5,160,157.7,156.3,145.8,276300,280900,235500,319900,259000,248600
Jul 2018,159.8,161.6,161.5,160.7,155.5,147.5,281200,286400,237700,325900,257600,251500
Aug 2018,160.8,162.8,162.2,162.1,155.4,146,283000,288500,238700,328700,257500,248900
Sep 2018,160.3,162.4,158.6,162.7,155.6,143.7,282200,287700,233500,330000,257900,245000
Oct 2018,163.1,165.5,164.9,163.9,155,144.5,287100,293200,242800,332300,256800,246400
Nov 2018,164.1,166.1,162,166.3,155.8,145.8,288800,294300,238500,337300,258100,248600
Dec 2018,163.6,165.6,165.9,163.9,153.7,146.6,288000,293500,244200,332300,254600,249900
Jan 2019,164.2,166.1,167.5,164.4,157.3,148.8,289000,294300,246500,333500,260700,253700
Feb 2019,164.1,165.9,163.6,166,156.4,149.8,288800,293900,240800,336600,259100,255400
Mar 2019,164.3,166.3,163.3,167.6,160.1,147.4,289200,294600,240400,339900,265300,251400
Apr 2019,164.7,166,163.4,167.3,163.4,153.2,289900,294200,240500,339200,270700,261200
May 2019,165.1,167.2,163.5,168.8,160.4,152.8,290600,296200,240600,342400,265800,260500
Jun 2019,166.6,168.3,168,168.2,165.2,156.3,293200,298200,247300,341200,273700,266500
Jul 2019,166.6,168.6,167.4,167.8,162.7,154.1,293200,298800,246400,340300,269600,262800
Aug 2019,171,173.4,170.3,173.5,164.8,155.8,301000,307200,250700,351800,273000,265700
Sep 2019,170.5,172.7,171.3,171.4,161.8,155.7,300000,306100,252100,347500,268100,265500
Oct 2019,171.8,174.3,168.4,175.8,161,155.2,302400,308800,247900,356600,266800,264600
Nov 2019,174.6,177.4,173.9,177,161.6,154.1,307300,314300,256000,358900,267700,262800
Dec 2019,176.6,179.7,172.8,181.9,161.7,154.2,310900,318500,254300,368800,267900,262900
Jan 2020,172.4,174.2,174.9,172.7,164.8,159.6,303500,308600,257500,350300,273100,272100
Feb 2020,176.2,178.5,176.8,178.3,165.7,159.4,310100,316300,260200,361500,274500,271800
Mar 2020,179.5,181.9,179.8,182.7,168.1,164.4,316000,322300,264700,370600,278500,280300
Apr 2020,179,181.5,181.3,180.9,164.4,165,315100,321700,266900,366800,272400,281400
May 2020,179.1,181.5,180.8,181.2,174.4,166.1,315200,321600,266100,367400,289000,283200
Jun 2020,178.2,180,181.8,178.2,172.6,170.4,313600,319000,267600,361400,286000,290600
