Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,249.1,254.7,244.9,257.6,247.2,240.8,775800,975600,921500,989900,571500,407400
Feb 2018,242.3,247.5,235.9,250.3,240.8,241.7,754800,948100,887400,962000,556800,408900
Mar 2018,243.3,250.8,243.6,252.5,235.9,236.1,758000,960700,916500,970200,545500,399500
Apr 2018,243.5,249,242.5,251,240.1,232.3,758400,953800,912200,964500,555100,393100
May 2018,249.4,253.2,243.4,255.5,240.1,258,776800,969700,915700,981700,555100,436600
Jun 2018,253.6,256.2,244.9,258.7,248.1,261.6,789900,981100,921300,994300,573700,442700
Jul 2018,251.4,255.6,243.4,258.7,248.8,248,783100,979100,915700,994100,575300,419700
Aug 2018,253.7,257.2,250.1,258.9,247.4,253.1,790300,985000,941000,995000,572100,428200
Sep 2018,252.6,257.4,243.9,260.5,241.8,252.9,787000,985700,917700,1001200,559000,427900
Oct 2018,256.5,261.5,254.3,263.4,246.7,252.7,798900,1001700,956600,1012400,570300,427500
Nov 2018,255.8,259,247,261.9,247.9,265.5,796900,992100,929200,1006400,573200,449200
Dec 2018,260.6,264.8,252.7,267.4,252.4,264,811800,1014100,950700,1027700,583600,446700
Jan 2019,253.4,260.6,250.2,263.5,248.4,253.4,789400,998200,941300,1012800,574300,428800
Feb 2019,251.7,256.8,242.1,260.4,241.6,273.6,784100,983600,910600,1000800,558500,463000
Mar 2019,250.7,255.9,242.7,259.6,241,276.2,780800,980200,913000,997500,557200,467300
Apr 2019,256.5,262.5,240.7,267.5,241.7,274.6,799100,1005300,905700,1027900,558800,464700
May 2019,258.5,263.9,247.3,267.6,248.4,283.7,805100,1010800,930500,1028300,574200,480000
Jun 2019,261.2,268.7,252.5,272,252,269.3,813700,1029000,949800,1045300,582700,455600
Jul 2019,264.4,272,254.1,276,254.5,279.9,823700,1041600,956000,1060600,588500,473600
Aug 2019,267.6,273.3,259.4,276.2,259.1,288.7,833500,1046600,975700,1061300,599100,488400
Sep 2019,268.7,274,265.3,276,263.7,292.7,836900,1049600,997900,1060600,609700,495300
Oct 2019,267.5,273.9,266,275.8,265.2,282.7,833300,1049100,1000600,1059900,613100,478300
Nov 2019,270.1,276.4,266.9,278.5,264.4,288.7,841400,1058600,1003900,1070100,611400,488500
Dec 2019,275.4,280.9,269.2,283.2,264.6,294.7,857800,1075900,1012700,1088300,611800,498600
Jan 2020,275.4,279.2,274.1,280.8,260.7,319.6,857900,1069400,1031100,1079100,602700,540700
Feb 2020,279.3,286.1,284.1,287.1,271.3,300.5,870000,1095700,1068900,1103200,627200,508400
Mar 2020,280.1,283.5,280.2,285,280.2,322.2,872600,1085800,1054200,1095200,647900,545200
