Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,169.8,177.6,174,178,197.9,156.8,325200,356100,279900,439600,374500,257800
Feb 2018,170.8,179.8,174.7,181.2,201.1,155.2,327000,360400,281100,447300,380400,255200
Mar 2018,170.8,179,173.9,180.6,201.2,157.7,327000,358900,279800,445800,380700,259300
Apr 2018,171.3,180.1,175,181.6,205.9,157,328000,361100,281600,448300,389500,258100
May 2018,172.5,181.2,175.4,183,207,159.1,330300,363300,282200,451800,391700,261600
Jun 2018,172.6,181.5,175.2,183.5,208.6,158.9,330500,364000,281900,453100,394600,261300
Jul 2018,174.2,183.5,177,185.5,206.6,160.3,333500,367900,284800,457900,390800,263500
Aug 2018,176.4,185.2,178.7,186.8,207.9,164,337900,371400,287600,461300,393400,269600
Sep 2018,177.3,186.8,178.1,190.1,210.5,163.7,339500,374500,286500,469300,398300,269100
Oct 2018,177.1,187,179.1,189.1,206.8,163.2,339200,374900,288200,467000,391300,268300
Nov 2018,178.5,188,180.5,189.5,211,165.7,341900,376900,290500,467900,399300,272400
Dec 2018,178.6,188.2,182,189.3,206.7,165,342000,377400,292800,467300,391100,271300
Jan 2019,179.7,189.9,182.1,191,207.8,165.9,344200,380800,293000,471600,393200,272800
Feb 2019,179.7,189.1,181.6,189.9,204.1,168.3,344100,379200,292200,468800,386100,276700
Mar 2019,179,188.8,181.1,189.4,208.9,167.3,342800,378500,291400,467600,395300,275000
Apr 2019,180.1,190.3,182.8,190.6,207.9,168.4,344800,381600,294200,470600,393400,276800
May 2019,180.9,191.8,183.3,192.5,214.6,167.9,346400,384500,295000,475400,406000,276100
Jun 2019,183.2,194.2,185.4,194.9,212.9,170.7,350800,389400,298300,481100,402800,280700
Jul 2019,184.4,196.3,188.4,196.1,214.1,170.7,353200,393500,303100,484200,405100,280600
Aug 2019,185,196.2,188.1,195.9,217.3,172.4,354300,393400,302700,483600,411200,283500
Sep 2019,189,199.6,191.2,199.6,230,176.9,361900,400200,307600,492700,435100,290800
