Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,144.8,145.4,147.1,143.8,164.2,140.1,209200,206100,182600,225600,271700,238900
Feb 2018,146.7,147.4,147.4,147.4,161.3,139.7,212000,208900,182900,231300,266900,238200
Mar 2018,146.1,146.7,152.6,145.4,152.7,145.6,211100,207900,189400,228100,252800,248300
Apr 2018,145.3,145.9,149.2,145.8,151.1,141.5,210000,206800,185100,228700,250100,241300
May 2018,146,146.5,149.8,145.9,154.9,146.1,211000,207600,185900,228900,256400,249100
Jun 2018,145.7,146.2,149.9,146.1,156.1,145.8,210600,207100,186000,229200,258400,248600
Jul 2018,148.2,148.9,150.8,148.5,155.3,147.5,214200,211000,187200,233000,257000,251500
Aug 2018,150,151,152.1,150.1,155.1,146,216800,213900,188700,235500,256700,248900
Sep 2018,150.2,151.2,150.2,151.4,155.4,143.7,217100,214200,186400,237500,257200,245000
Oct 2018,152.4,153.4,154.1,152.1,154.7,144.5,220200,217400,191300,238600,256100,246400
Nov 2018,152.3,153.1,151.7,152.8,155.6,145.8,220100,217000,188200,239800,257500,248600
Dec 2018,152.2,152.9,154.2,151.7,153.5,146.6,219900,216700,191400,238000,254000,249900
Jan 2019,152.8,154,155.2,153.2,157.2,148.8,220800,218200,192600,240300,260100,253700
Feb 2019,152.3,153.1,152.7,153.1,156.1,149.8,220100,216900,189500,240200,258400,255400
Mar 2019,152.5,153.1,154.3,154.2,159.9,147.4,220300,217000,191500,242000,264600,251400
Apr 2019,153.5,153.8,155.2,154.7,163.2,153.2,221800,218000,192600,242800,270100,261200
May 2019,154.8,155.5,155,157.5,160.3,152.8,223700,220300,192400,247100,265300,260500
Jun 2019,155.7,156,157.5,157.6,165.1,156.3,225000,221100,195500,247300,273200,266500
Jul 2019,155.6,156.2,157,157,162.7,154.1,224900,221400,194800,246400,269300,262800
Aug 2019,159.9,160.6,159,161.9,164.8,155.8,231000,227600,197300,254000,272700,265700
Sep 2019,159.7,160.3,160.4,160.2,161.8,155.7,230700,227200,199100,251300,267800,265500
Oct 2019,161,161.8,157.9,164,161,155.2,232600,229300,195900,257300,266500,264600
Nov 2019,163.3,164.3,162,165.3,161.6,154.1,236000,232800,201000,259300,267500,262800
Dec 2019,166.1,167.4,161.6,171.6,161.8,154.2,240000,237200,200600,269200,267700,262900
Jan 2020,162,162.9,162.8,163.8,164.8,159.6,234100,230900,202000,257000,272800,272100
Feb 2020,165.7,166.7,164.3,168.6,165.7,159.4,239400,236200,203900,264500,274300,271800
Mar 2020,168,168.7,166.3,172.5,168.2,164.4,242700,239100,206400,270600,278300,280300
Apr 2020,168.3,169.3,168.2,171.5,164.4,165,243200,239900,208700,269100,272100,281400
May 2020,167.8,168.3,167.3,170.6,174.4,166.1,242500,238500,207600,267700,288600,283200
Jun 2020,167.2,167.4,168.3,168.9,172.6,170.4,241600,237200,208800,265000,285600,290600
Jul 2020,169.8,170.4,171.4,171.1,176.4,168.7,245400,241500,212700,268500,291900,287700
Aug 2020,174.5,175,175.3,174.9,178.7,172.8,252100,248000,217500,274400,295800,294600
Sep 2020,180.8,181.7,181.2,182.2,184,174.1,261300,257500,224900,285900,304600,296900
Oct 2020,185.4,186.2,186,185.9,187.6,177.5,267900,263900,230800,291600,310500,302700
Nov 2020,187.3,188,190.2,185.9,189.2,179,270700,266400,236000,291700,313200,305200
Dec 2020,190.8,191.6,194.8,189,190.8,182.4,275700,271500,241800,296500,315800,311000
Jan 2021,192.8,194.6,198,192.5,194.6,182.8,278600,275700,245700,302100,322000,311600
Feb 2021,196.5,198.2,196.3,198.9,195.5,183.6,283900,280900,243600,312100,323500,313000
Mar 2021,200.3,201.8,207.1,200,201,187.4,289400,286000,257000,313800,332700,319500
Apr 2021,208.7,209.7,215,206.4,213.9,200.5,301500,297100,266800,323800,354000,341900
May 2021,215.2,216,220.6,214.1,229.6,206.7,311000,306100,273800,335900,380000,352400
Jun 2021,221.5,222.2,228.8,219.1,236.4,214.1,320100,314900,283900,343800,391300,365000
Jul 2021,225.1,225.7,229.4,223.7,246.7,217.7,325300,319800,284700,351000,408300,371200
Aug 2021,228.2,229.1,230.9,227.7,243,218.5,329800,324600,286600,357200,402200,372600
Sep 2021,231.3,231.8,235.5,229,245.9,222.2,334200,328500,292200,359300,407000,378900
Oct 2021,236.2,237.3,237.9,236.5,242.4,223.5,341300,336200,295200,371100,401200,381000
Nov 2021,241.6,243,242.5,243.3,236.6,227,349100,344300,300900,381700,391500,387100
Dec 2021,246.4,247.6,250,245.1,243,233.7,356000,350900,310200,384600,402200,398500
Jan 2022,251.3,253.4,254,252.4,255.3,237.9,363200,359100,315200,396000,422600,405700
Feb 2022,256.4,257.9,259.5,254.9,270.5,240.9,370500,365500,322100,399900,447700,410700
Mar 2022,275.4,276.3,291.6,267.6,302.3,257.4,398000,391500,361900,419800,500300,438900
Apr 2022,282.8,284.7,292.5,280.2,303,262,408600,403400,363000,439600,501500,446700
May 2022,282.8,282.9,294.9,276.3,305.7,283,408700,400900,366000,433500,506000,482500
Jun 2022,281.4,281.9,286.3,279.2,296.3,281.4,406600,399400,355300,438100,490300,479800
Jul 2022,277.6,277.9,280.4,275.9,290.9,282.7,401200,393800,348000,432900,481500,482000
Aug 2022,268.8,268.9,273.2,266.3,284.6,273.4,388400,381100,339100,417900,471000,466200
Sep 2022,265,265.4,268.1,263.9,284.8,260.6,382900,376100,332700,414000,471400,444400
Oct 2022,259.8,260.3,266.7,256.8,274.2,252.7,375400,368900,331000,402900,453800,430900
Nov 2022,258.8,258.9,266.2,254.8,279.4,251.1,374000,366900,330300,399800,462400,428100
Dec 2022,261.4,261.8,260.1,262.7,289.1,248.6,377700,371000,322800,412100,478400,423800
Jan 2023,264.8,266.6,266.4,266,283,253.8,382700,377800,330600,417400,468400,432800
Feb 2023,264.4,265.8,265.6,264.1,280.1,254.1,382100,376700,329600,414400,463600,433200
