Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,235.2,242.8,255.8,241.1,240.2,233.3,899000,1000600,979100,1002400,509000,443500
Feb 2018,237.5,245.7,258.5,244,237.6,235.6,907600,1012400,989700,1014500,503400,447800
Mar 2018,238.2,246.8,257.5,245.6,241,236.6,910500,1017100,985900,1021400,510600,449700
Apr 2018,239.5,248.3,256,247.5,240.5,238.1,915500,1023300,979900,1029300,509700,452700
May 2018,239.3,248.2,254.6,247.7,242.6,240.6,914500,1023000,974700,1030000,514000,457400
Jun 2018,240.6,249.5,253.7,249.1,243.6,246.7,919700,1028000,971300,1035900,516100,468900
Jul 2018,239.8,248.8,255.2,248.1,249.4,248.2,916700,1025100,977000,1031400,528500,471900
Aug 2018,243.3,252,256.3,251.6,251.8,255.2,929800,1038600,981300,1046100,533500,485200
Sep 2018,242.4,251.7,258.2,250.4,260.1,252.9,926400,1037300,988300,1041200,551200,480700
Oct 2018,242.2,251.2,259.4,250.4,258.3,254.1,925800,1035200,993100,1041000,547300,483000
Nov 2018,240.2,249.5,261.4,248.1,262.2,249.7,918200,1028000,1000700,1031800,555500,474700
Dec 2018,241.7,251.2,259.1,250.4,257.1,252.4,923600,1035100,992000,1041000,544800,479900
Jan 2019,237.9,247.8,259.2,246.2,251,253,909200,1021100,992300,1023600,531900,480900
Feb 2019,234.8,244.3,249.4,243.4,252.5,250.4,897500,1006700,954600,1012000,535000,476000
Mar 2019,234.2,244.1,248.1,243.6,253.8,247.8,895100,1005800,949900,1013000,537700,471100
Apr 2019,239.3,250.4,245.9,251,256.3,247.6,914700,1031700,941300,1043600,543200,470700
May 2019,241.7,253.5,248.4,254.3,255.7,248.8,923600,1044800,950900,1057500,541800,472900
Jun 2019,241.9,253.5,256.7,253.3,257.4,251.8,924600,1044800,982600,1053300,545500,478600
Jul 2019,247,260,261.1,259.9,259.6,254.7,943900,1071600,999500,1080700,550000,484100
Aug 2019,246.6,258.6,266.2,257.6,266.7,260.5,942500,1065500,1018900,1071200,565100,495200
Sep 2019,243.7,256.3,263.2,254.5,270,263,931500,1056300,1007500,1058200,572200,500000
Oct 2019,247.2,259.1,260.4,259,276.2,264.4,944900,1067700,996900,1077100,585200,502700
Nov 2019,245.3,256.9,262.7,256.2,277.8,267.5,937500,1058500,1005700,1065400,588600,508600
Dec 2019,246.5,258,263,257.5,281.1,268.5,942300,1063300,1006700,1070700,595600,510500
Jan 2020,244.3,255.4,265.4,253.8,280.4,270.5,933700,1052400,1016000,1055400,594200,514300
Feb 2020,246.4,257.2,265.5,255.8,278.2,273.6,941600,1059900,1016200,1063800,589600,520100
Mar 2020,253.1,265.3,268.5,264.7,275.8,277.9,967500,1093100,1028000,1100800,584400,528300
Apr 2020,250.8,262.8,268,262.1,277.3,274.4,958500,1082800,1025800,1089700,587600,521600
May 2020,254.8,267.2,269.9,267,284,273.7,974000,1101100,1033000,1110000,601700,520300
