Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,275.5,286.7,253.1,295.4,263.1,277.7,605500,658900,512600,729000,444900,437600
Feb 2018,273.6,284.7,253.2,293.1,261.3,278.4,601400,654200,512800,723400,441800,438700
Mar 2018,272.8,283.6,253.3,292.5,262.7,279.9,599600,651800,513000,721900,444300,441100
Apr 2018,272.8,283.3,254,291.9,262.6,281.9,599700,651000,514300,720500,444100,444300
May 2018,273.4,284,254.1,292.6,262.4,283.4,600900,652700,514500,722200,443700,446600
Jun 2018,274.4,284.8,253.5,293.7,265.1,285.3,603200,654500,513400,724900,448200,449600
Jul 2018,275.9,286.1,254.9,294.7,267.7,288.1,606500,657500,516200,727200,452600,454000
Aug 2018,277,287.1,256.7,295.3,269.2,290.4,608900,659800,519800,728800,455200,457700
Sep 2018,277.9,287.5,256.2,295.9,272.3,293.7,610800,660600,518800,730300,460500,462800
Oct 2018,278.8,288.3,257.8,296.6,273.4,295.7,612800,662600,522000,731900,462400,466000
Nov 2018,277.9,287.2,256.8,295.5,274.5,295.9,610900,659900,520000,729400,464200,466400
Dec 2018,277.1,285.7,255.1,294.4,275.6,299.4,609000,656600,516600,726600,466000,471800
Jan 2019,274.6,283.3,253.7,291.7,272.4,295.6,603500,651000,513700,719800,460600,465900
Feb 2019,272,280.3,251.6,288.8,271.7,294.8,597900,644100,509400,712800,459400,464600
Mar 2019,270.9,279.5,251.6,288.2,270.5,293.9,595500,642400,509400,711400,457500,463200
Apr 2019,272.7,281.3,253,289.9,272.4,295.6,599400,646400,512400,715500,460700,465900
May 2019,275.2,283.7,255.5,292,277.2,298.4,604800,651900,517400,720600,468700,470300
Jun 2019,278.3,286.7,259.4,294.4,280.1,302.2,611600,658900,525300,726700,473700,476300
Jul 2019,281,289.7,260.8,297.8,281.5,305.4,617600,665800,528200,735000,476000,481300
Aug 2019,283.1,291.7,262.8,299.6,285.7,308.8,622200,670300,532100,739500,483100,486600
Sep 2019,284.9,293.3,265.1,300.9,287.9,311.4,626200,674000,536800,742700,486800,490800
Oct 2019,286.9,295.3,266.9,303,292.1,313.3,630600,678600,540400,747800,493900,493800
Nov 2019,288.1,296,268.1,303.8,294,318.2,633300,680100,542900,749900,497100,501500
Dec 2019,288.9,296.6,269.1,304.9,295.2,321.3,635100,681500,545000,752400,499100,506400
Jan 2020,289.5,296.3,269.8,304.5,297.2,325.7,636300,681000,546400,751400,502600,513300
Feb 2020,291.1,297.7,270.1,306.5,298.5,328.9,639800,684100,546900,756400,504700,518300
Mar 2020,292.3,299.1,270.9,308,299.3,330.5,642500,687300,548500,760100,506200,520800
Apr 2020,288.4,294.4,265.6,303.2,301.7,326.1,634000,676600,537900,748400,510100,513900
May 2020,293.8,301.1,270.9,309.8,302.9,325.6,645700,692000,548500,764600,512200,513200
Jun 2020,301,309.8,280.7,317.9,308.1,324.9,661500,712000,568400,784600,521000,512100
Jul 2020,310.4,320.1,291.5,327.5,317.9,330.2,682200,735500,590300,808300,537600,520400
Aug 2020,318.7,329.9,300.2,337.2,325.8,333,700500,758100,608000,832300,551000,524800
Sep 2020,324.2,335.9,308.1,342.5,331.1,334.1,712600,772000,623900,845200,559900,526600
Oct 2020,326.9,339.3,311.9,345.5,333.8,333.2,718600,779700,631500,852600,564500,525200
Nov 2020,330.6,343.9,317.9,350.2,337.4,331.8,726600,790200,643800,864400,570600,522900
Dec 2020,335,349.2,323,356.5,343.2,332.7,736400,802500,654100,879800,580400,524400
Jan 2021,343.5,359.7,331.2,368.2,349.1,333.4,755100,826600,670700,908600,590400,525400
Feb 2021,352.3,369.8,341.2,378.1,359.7,335.2,774300,849800,691000,933200,608300,528300
Mar 2021,360.4,378.6,351.1,385.6,367.4,341.3,792200,870100,711000,951700,621300,537900
Apr 2021,367.2,385.5,359.4,391.2,373.6,348.7,807100,885800,727700,965600,631700,549500
May 2021,375.3,393.9,367.7,398.3,381.1,354.9,824800,905200,744500,983000,644500,559400
Jun 2021,383.4,402.6,375.8,407.3,386.5,361.9,842700,925200,760900,1005300,653600,570400
Jul 2021,389.8,409.7,382.1,414.7,392.1,365.6,856700,941600,773700,1023600,663000,576200
Aug 2021,396.5,417.6,389.3,422.4,398.3,371.1,871400,959600,788400,1042400,673600,584800
Sep 2021,407.6,429.1,398.7,435,408.4,380.1,895800,986100,807400,1073500,690600,599100
Oct 2021,421.9,444.7,410.1,451.8,419.6,393.7,927400,1021900,830500,1115000,709500,620500
Nov 2021,433.3,456.7,420.1,465.9,432.8,405.1,952500,1049500,850800,1149900,731900,638400
Dec 2021,442.8,466.9,429.6,477.7,444.2,413.4,973200,1072900,869900,1178900,751200,651500
Jan 2022,462.8,489.4,450.4,501.1,463.5,425.3,1017200,1124700,912000,1236800,783700,670200
Feb 2022,475.3,501.9,463.1,513.2,480.8,441.1,1044600,1153400,937700,1266500,813000,695100
Mar 2022,472.3,496,457.5,506,484.5,452.2,1038100,1139800,926400,1248900,819300,712600
Apr 2022,461.5,482.9,446,492.5,475.4,450.3,1014300,1109800,903100,1215400,803900,709700
May 2022,454.7,474.8,435.8,483.2,467.4,448.2,999400,1091100,882500,1192600,790400,706300
Jun 2022,442.4,460.6,420.4,470.6,458.1,441.6,972500,1058500,851400,1161500,774700,696000
Jul 2022,431.7,448,409.8,457.8,448.7,437,948800,1029500,829900,1129900,758700,688700
Aug 2022,423.2,439.6,401.7,449.4,437,431.8,930300,1010200,813400,1109100,738900,680500
Sep 2022,417.6,433.2,393.9,444.2,431.3,426,917800,995500,797600,1096300,729400,671300
Oct 2022,411.1,426.2,389.4,436.2,426.1,420.9,903500,979400,788500,1076600,720600,663300
Nov 2022,404.5,419.1,383.6,430.2,420,415.7,889000,963200,776700,1061700,710300,655200
Dec 2022,397.2,411.8,376.3,423.8,411.4,410.7,873100,946300,762000,1046000,695700,647300
Jan 2023,388.8,402.9,368,415.1,403.1,403.7,854600,925900,745100,1024400,681600,636300
Feb 2023,383.2,398.4,363.9,409.9,396.9,392.1,842200,915500,736800,1011700,671200,617900
