Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,166.2,167,165.9,166.9,161.8,159.3,390800,432600,390300,444400,262400,267800
Feb 2018,165.9,166.4,164.7,166.5,164.2,160.6,390000,431100,387600,443300,266400,270000
Mar 2018,166.9,167.6,168.4,167,167.7,160.6,392300,434200,396300,444500,272000,270000
Apr 2018,167.4,168.2,168.8,167.9,167,160.4,393500,435700,397100,447000,270800,269600
May 2018,168.2,169.2,170.5,168.6,167.6,161.5,395400,438300,401200,448700,271900,271500
Jun 2018,169.5,170.5,170.2,170.2,170.6,162.6,398500,441800,400400,453100,276700,273400
Jul 2018,170.7,171.5,171.6,171.3,176.4,164,401400,444400,403700,455900,286200,275700
Aug 2018,171.4,172.4,173.1,172.1,175.2,164.4,402900,446700,407200,458100,284100,276400
Sep 2018,173.3,174.3,175.3,173.9,176.6,166.8,407400,451500,412400,462900,286400,280400
Oct 2018,175,176.6,175.9,176.5,177.4,166.8,411400,457500,413900,469900,287700,280400
Nov 2018,175.5,176.5,178.1,176.3,181.8,167.9,412500,457400,419100,469400,294900,282200
Dec 2018,177.6,179.2,178.5,179.3,182.6,168.5,417500,464200,420100,477400,296200,283200
Jan 2019,176.1,177,178.6,176.4,181.8,171.3,414000,458700,420300,469600,294900,288000
Feb 2019,175.3,176.6,177.9,176.1,176.8,171.7,412100,457500,418500,468800,286800,288700
Mar 2019,175.4,176.9,177,176.8,176.4,171.8,412300,458300,416400,470600,286100,288800
Apr 2019,177.6,179.2,178.1,179.5,184.4,171.9,417500,464200,419000,477900,299100,288900
May 2019,179.2,180.7,180.2,180.7,188.9,172.9,421200,468100,423900,480900,306400,290700
Jun 2019,182.1,183.8,182.2,184.1,193.6,175.8,428200,476200,428700,490000,314000,295600
Jul 2019,184.4,186.5,184,186.8,195.7,178,433600,483100,433000,497200,317400,299300
