Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,168.9,174.1,170.6,176,193.3,157.9,298400,317400,252300,397400,353500,247400
Feb 2018,169.8,175.9,171.2,178.4,196.4,156.6,300000,320700,253200,402800,359200,245400
Mar 2018,169.7,175,170.9,177.7,196.8,158.8,299900,319100,252700,401200,359900,248800
Apr 2018,170.2,175.9,171.7,178.7,201.1,158.1,300800,320700,254000,403400,367900,247700
May 2018,171.4,176.8,171.9,180.1,202.4,160.5,302900,322300,254200,406600,370200,251500
Jun 2018,171.5,177.2,171.6,180.7,203.1,160.2,303100,323000,253800,408000,371400,251100
Jul 2018,173,179,173.1,182.6,201.7,161.3,305700,326300,256000,412200,369000,252700
Aug 2018,174.8,180.3,174.4,183.7,202.5,165,308900,328600,258000,414700,370400,258600
Sep 2018,175.7,181.6,174.1,186,205,164.9,310400,331100,257500,419900,374900,258400
Oct 2018,176.1,182.4,175.6,186,201.9,164.7,311100,332500,259700,420100,369200,258100
Nov 2018,177.1,183,176.2,186.2,205.6,167,312900,333600,260600,420400,376000,261700
Dec 2018,177.2,183.2,177,186.1,202.1,166.2,313200,333900,261800,420200,369700,260400
Jan 2019,178,184.6,176.9,187.4,203.3,166.9,314500,336500,261700,423100,371800,261500
Feb 2019,178.2,184.3,176.7,186.6,200.1,169.2,314800,335900,261400,421300,366000,265200
Mar 2019,177.5,183.3,176.4,186,204.4,168.3,313700,334200,260900,419900,373900,263800
Apr 2019,178.7,184.8,178.2,187.2,203.6,169.2,315700,336800,263600,422700,372400,265100
May 2019,179.4,185.9,178.6,189,209.8,168.6,317000,338900,264100,426700,383800,264200
