Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,273.9,281.8,269.8,277.1,231.5,229.6,296900,306000,270900,368300,256000,225000
Feb 2018,273,280.1,268.5,275.7,228.4,234,295900,304200,269600,366400,252600,229300
Mar 2018,270.8,278.2,265.9,274.8,235.6,234.2,293500,302100,267000,365200,260600,229500
Apr 2018,266.3,273,259.4,272.6,236.3,225.8,288700,296500,260400,362300,261400,221300
May 2018,268,275.3,260.3,276.1,236.3,223.3,290500,299000,261300,366900,261400,218800
Jun 2018,268,275.8,259.4,278.3,225.6,224.6,290500,299500,260400,369900,249500,220100
Jul 2018,267.4,275.3,259.6,277,231,226.9,289900,299000,260600,368100,255500,222400
Aug 2018,266.5,274.2,261.2,272,229.6,221.9,288900,297800,262200,361500,253900,217500
Sep 2018,265.3,272.9,259.6,271,237.5,217.3,287600,296400,260600,360100,262700,213000
Oct 2018,266.1,273.7,260.1,271.9,239.7,217.2,288400,297200,261100,361400,265100,212900
Nov 2018,266.2,274,261.5,271.5,238,216.4,288600,297600,262500,360800,263200,212100
Dec 2018,266.1,273.4,259.8,271.3,243.6,214,288500,296900,260800,360500,269400,209700
Jan 2019,264,271.3,256.3,271.3,241.8,210.9,286200,294600,257300,360600,267400,206700
Feb 2019,262.3,270.3,254,272.1,218.4,207.9,284300,293600,255000,361600,241600,203700
Mar 2019,259.5,269,253.2,269.8,215.9,200.7,281300,292100,254200,358600,238800,196700
Apr 2019,260.1,268.5,253.8,268.2,220.7,202.9,282000,291600,254800,356400,244100,198800
May 2019,260.1,268.5,254.5,266.3,210.1,208.6,281900,291600,255500,353900,232400,204400
Jun 2019,260.8,268.5,253,269.2,216.2,215.9,282700,291600,254000,357800,239100,211600
