Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,253.6,259.4,256.7,250.7,229.3,240.2,290100,300600,272100,357800,270600,212100
Feb 2018,253.3,259,257.6,249.3,228.1,243.8,289800,300200,273100,355800,269200,215300
Mar 2018,251.5,256.9,255.2,247.7,222.4,242.8,287700,297700,270500,353500,262400,214400
Apr 2018,250.4,255.8,252.7,248.1,224.4,238.1,286500,296500,267900,354100,264800,210200
May 2018,250.2,255.7,251.3,249.7,223,237.7,286200,296400,266400,356300,263100,209900
Jun 2018,250.5,256.3,250.9,252.1,223.1,236.9,286600,297000,266000,359800,263200,209200
Jul 2018,249.7,255.7,250.6,250.2,222.5,235.6,285700,296300,265600,357000,262600,208000
Aug 2018,248.9,254.9,251.2,247,222.3,232.2,284700,295400,266300,352500,262300,205000
Sep 2018,248.1,253.8,249.3,247.9,223.4,231.9,283800,294200,264300,353700,263600,204800
Oct 2018,248.1,253.7,249.1,248,224.5,232.8,283800,294000,264000,353900,264900,205600
Nov 2018,249.1,254.5,249.2,249.8,225.2,239.5,285000,295000,264200,356500,265700,211500
Dec 2018,248.4,254.5,248.8,250.4,222.7,231.3,284200,295000,263700,357300,262800,204200
Jan 2019,247.5,253.3,246.3,251.5,223.3,230.6,283100,293600,261100,358900,263500,203600
Feb 2019,244.4,251.3,244.8,248.8,211.7,223.6,279600,291300,259500,355100,249800,197400
Mar 2019,243.1,249.7,244.6,246.5,216.1,215.4,278100,289400,259300,351700,255000,190200
Apr 2019,245.8,252.5,246.2,247,218.1,219.7,281200,292600,261000,352500,257400,194000
May 2019,246.5,253.2,247.8,247.4,216.9,223.2,282000,293500,262700,353000,255900,197100
Jun 2019,246.2,252.5,246.7,247.9,219.4,228.1,281700,292600,261500,353700,258900,201400
Jul 2019,246.1,252.2,245.8,248,219.5,229.1,281500,292300,260600,353900,259000,202300
Aug 2019,245.8,252,244.3,249.3,220.3,226.4,281200,292100,259000,355700,259900,199900
Sep 2019,245.9,252.3,245.4,248.6,222.2,225,281300,292400,260100,354700,262200,198700
Oct 2019,245.8,252.5,245.3,249.5,218.6,224,281200,292600,260000,356000,257900,197800
Nov 2019,245.9,252.7,245.2,249.7,222,220.2,281300,292900,259900,356300,262000,194400
Dec 2019,246.9,253.7,246.2,250,224.7,222,282500,294000,261000,356700,265100,196000
Jan 2020,246.4,253.5,246.1,250.2,219.7,220.4,281900,293800,260900,357100,259300,194600
Feb 2020,246.6,253.8,245.5,251.6,219.3,220.2,282100,294200,260200,359000,258800,194400
Mar 2020,246,252.5,244.8,250.4,219.2,221.6,281400,292700,259500,357300,258600,195700
Apr 2020,245.5,252.1,244.9,246.7,218.4,219.5,280800,292200,259600,352000,257700,193800
May 2020,246.4,252.9,243.1,251.6,219.2,220.5,281900,293100,257700,359100,258700,194700
Jun 2020,248.8,255.8,247.4,253.5,219.7,218.5,284600,296500,262200,361800,259300,192900
Jul 2020,251.9,258.8,250.4,255.9,221.4,223.2,288200,300000,265400,365200,261200,197100
Aug 2020,254.5,261.4,253.3,257.7,224.2,225.1,291100,303000,268500,367800,264600,198800
Sep 2020,257.8,265.1,256.2,261.9,224.9,226.8,294900,307200,271600,373700,265400,200300
Oct 2020,260.3,267.7,259.2,264,229.7,224.9,297800,310300,274700,376700,271000,198600
Nov 2020,261.1,268.9,260.7,264.5,228.5,224.2,298700,311600,276300,377400,269600,198000
Dec 2020,262,269.8,260.6,266.2,233.8,224.2,299700,312700,276200,379800,275900,198000
Jan 2021,262.5,270.4,261.8,266.6,229.9,224.2,300300,313400,277500,380400,271300,198000
Feb 2021,268.1,276.4,268.2,271.3,233.2,227.5,306700,320300,284300,387100,275200,200900
Mar 2021,271.5,279.6,270.8,274.8,234.5,232.3,310600,324100,287000,392100,276700,205100
Apr 2021,273.9,281.7,272.5,276.5,238,237.5,313300,326500,288900,394500,280800,209700
May 2021,274.7,282.6,273.5,277.2,238.1,237,314200,327500,289900,395600,281000,209300
Jun 2021,274.1,282.1,273.4,276.7,236.3,235.6,313600,326900,289800,394900,278800,208000
Jul 2021,273.4,281.9,273.5,276.2,235,230.4,312800,326700,289900,394100,277300,203400
Aug 2021,274.1,282.6,274.1,276.9,235.7,232.6,313600,327500,290500,395200,278100,205400
Sep 2021,274.7,282.8,273.8,277.4,237.6,234.7,314200,327800,290200,395900,280400,207200
Oct 2021,276,284.2,274.6,279.4,237.9,236.2,315700,329400,291100,398700,280700,208600
Nov 2021,278.5,286.7,276.3,283,241,238.8,318600,332300,292900,403800,284400,210900
Dec 2021,280.5,289.4,278.8,285.2,242.2,239.5,320900,335400,295500,407000,285800,211500
Jan 2022,281.6,290.2,279.3,287.5,246.1,238.6,322100,336300,296100,410300,290400,210700
Feb 2022,282.3,290.9,280.6,287.5,246.5,238.5,322900,337100,297400,410300,290900,210600
Mar 2022,283.9,293,282.7,289.7,246.7,236.1,324800,339600,299700,413400,291100,208500
Apr 2022,285.1,294.5,283.4,290.6,247.7,236.7,326100,341300,300400,414700,292300,209000
May 2022,285.2,294.7,284.6,290.8,245,237.5,326300,341600,301700,415000,289100,209700
Jun 2022,286.5,296,285.2,293.5,251.4,238.2,327800,343100,302300,418800,296600,210300
Jul 2022,287.5,296.8,284.7,296.2,254.3,240.2,328900,344000,301800,422700,300100,212100
Aug 2022,287.7,296.6,284,297.3,255.7,243,329100,343800,301000,424200,301700,214600
Sep 2022,286.3,295.3,283.3,294.6,256.2,239.8,327500,342200,300300,420400,302300,211700
Oct 2022,284.6,293.3,281.7,292.4,253.1,243.5,325600,339900,298600,417200,298600,215000
Nov 2022,283.7,291.8,280.3,291.1,251.2,248.7,324500,338200,297100,415400,296400,219600
Dec 2022,281.6,290.2,278.9,288.9,250.3,250.1,322200,336300,295600,412200,295400,220800
Jan 2023,283.4,290.3,278.1,291.5,259.2,259.7,324200,336500,294800,415900,305800,229300
Feb 2023,283.3,290.1,275.9,293.3,261.9,258.1,324100,336200,292500,418500,309100,227900
