Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,219.1,218.8,219,217.2,219.5,244.1,419800,467700,452300,512400,328200,234300
Feb 2018,219.9,218.9,219.3,216.9,222.4,248.1,421400,468000,452800,511700,332500,238200
Mar 2018,222.3,221.4,221.5,220.6,222.8,253.9,426000,473300,457500,520400,333100,243700
Apr 2018,224.8,224.1,222.9,225.8,227.4,255.4,430800,479200,460300,532700,339900,245200
May 2018,226.4,225.1,224.5,225.5,232.6,259.4,433800,481200,463600,532000,347700,249000
Jun 2018,228.2,227.3,226.2,229.2,233.2,264.7,437200,485900,467100,540700,348700,254100
Jul 2018,230.5,229.8,229.1,230.5,234.7,267.4,441600,491300,473100,543800,350900,256700
Aug 2018,231.5,231,231,229.6,235.4,268.6,443600,493800,477100,541700,351900,257900
Sep 2018,232.2,231.8,232.2,229.8,236.2,267.3,444800,495600,479400,542000,353100,256600
Oct 2018,232.8,232.2,233.1,228.6,238.7,271,446000,496500,481300,539200,356900,260200
Nov 2018,234.5,233.9,234.3,231.7,241.5,273.4,449300,500100,483900,546500,361000,262500
Dec 2018,234.4,234.1,233.8,232.9,239.9,274.6,449100,500400,482800,549300,358600,263600
Jan 2019,235.5,235,235.1,233.7,243.7,277.3,451300,502500,485500,551300,364400,266200
Feb 2019,235.8,235.4,235.9,233.3,243.4,275.5,451700,503300,487100,550300,363900,264500
Mar 2019,235.3,234.4,235.6,230.6,243.4,280,450900,501100,486500,543900,363900,268800
Apr 2019,234.7,233.8,234.2,232,247,274.9,449600,499900,483700,547200,369200,263900
May 2019,234.9,234.9,235,233.8,242.5,277.3,450100,502200,485200,551500,362500,266200
Jun 2019,234.9,235,235,234.4,243.4,278.9,450000,502500,485200,552900,363900,267700
Jul 2019,233.7,234.2,234.1,233.7,242.2,277.1,447700,500800,483500,551200,362100,266000
Aug 2019,234.7,235.6,234.4,237.8,244.6,269.4,449700,503800,484100,561000,365700,258600
Sep 2019,237.1,238.1,236.3,241.6,246.9,279.4,454300,509000,488000,570000,369100,268200
Oct 2019,238.3,239.8,238.3,242.5,247.7,279.9,456600,512600,492000,572100,370300,268700
Nov 2019,238.8,240.4,239.3,242.7,246.3,284.8,457500,513900,494100,572500,368200,273400
Dec 2019,239.1,240.3,240.6,238.5,248.4,286,458200,513800,496900,562700,371300,274600
Jan 2020,239.6,241.5,240.5,242.9,249.2,280.3,459100,516300,496700,573000,372500,269100
Feb 2020,241.1,242.8,242.9,242.2,249.2,285.8,462000,519000,501600,571400,372600,274400
Mar 2020,242.4,243.5,242.1,246.9,253,289.5,464500,520600,500000,582400,378300,277900
Apr 2020,240.7,242.4,243.1,240,248.6,286.7,461200,518300,502100,566200,371700,275200
May 2020,240.1,241.6,241.7,240.7,248.4,287.3,460000,516600,499200,567900,371300,275800
Jun 2020,239.9,242,243,238.6,248.2,283.9,459700,517300,501700,562900,371100,272500
Jul 2020,241.8,243.3,243.4,242.3,254.5,285.8,463200,520200,502700,571500,380500,274400
Aug 2020,244.8,246.7,247.3,244.4,256.3,286.6,469100,527500,510700,576600,383100,275100
Sep 2020,249.7,252.3,252.2,251.6,259.3,288.5,478400,539500,520800,593600,387600,277000
Oct 2020,255.5,258.5,257.7,258.8,263.3,295.1,489500,552600,532200,610400,393600,283300
Nov 2020,259.9,262.4,261.4,264.1,270.4,299.2,497900,561000,539700,623000,404300,287200
Dec 2020,265.8,268.3,267.2,270.3,276.8,306,509300,573700,551700,637700,413800,293800
Jan 2021,269.7,272,272.1,270.1,282.8,311.3,516800,581600,561900,637100,422800,298800
Feb 2021,276,278.1,277.6,279.2,291.4,318.3,528900,594600,573200,658600,435700,305600
Mar 2021,282.9,285.3,285.7,284.3,298.7,321,542100,609900,589900,670700,446500,308200
Apr 2021,291.6,294.7,295.5,290.4,306.5,332.4,558800,630100,610300,685100,458200,319100
May 2021,301.6,305.6,307.2,299.4,315.1,339.8,577900,653400,634300,706200,471100,326200
Jun 2021,310.9,314.4,315.4,309.2,326.5,351.8,595700,672100,651200,729300,488100,337700
Jul 2021,318.6,322.6,324.9,313.5,331.2,363.2,610500,689700,671000,739500,495200,348700
Aug 2021,325.5,328.6,330.4,320.8,338.3,374.7,623600,702500,682200,756700,505800,359700
Sep 2021,331.5,334.2,336.5,324.8,347.5,385.7,635200,714500,694900,766100,519500,370300
Oct 2021,338.8,341.1,340.7,338,355.6,393.6,649100,729300,703500,797300,531600,377900
Nov 2021,347.1,349.7,350.9,344.2,364.9,397.9,665100,747700,724700,812000,545600,382000
Dec 2021,356.9,360,360.1,357.4,373,405.9,683800,769600,743600,843000,557700,389700
Jan 2022,367.3,371,370.8,366.9,382.9,417.6,703700,793200,765800,865400,572500,400900
Feb 2022,374.7,378.1,378.6,375.5,389,427,718000,808300,781900,885900,581600,409900
Mar 2022,384.5,387.7,389,382.5,395,445.9,736700,828800,803300,902300,590500,428100
Apr 2022,393.6,396.9,396.7,394.4,399.2,469.2,754200,848500,819200,930400,596800,450400
May 2022,394.3,397.6,397.4,392.6,408.7,462.6,755500,850000,820700,926200,611000,444100
Jun 2022,393.1,396.1,395.7,392.9,406.7,462,753100,846900,817200,926800,608000,443500
Jul 2022,390.1,392.7,390.4,393,405.9,457.9,747400,839600,806100,927200,606800,439600
Aug 2022,387.1,388.8,386.4,389.5,403.8,455.1,741700,831300,797900,918800,603700,436900
Sep 2022,378.8,380.5,378.3,381.1,397.5,442.7,725800,813600,781100,898900,594300,425000
Oct 2022,369.8,370.2,371.7,361.6,393.7,436.1,708600,791400,767500,853100,588600,418700
Nov 2022,366.7,366.3,366.5,362.9,387.4,437.3,702600,783200,756900,856100,579100,419800
Dec 2022,360.6,358.7,359.1,355.6,387.3,430.9,691000,766800,741600,838900,579000,413700
Jan 2023,354,351.7,347.2,357.9,382.3,426,678300,751900,716900,844300,571500,409000
Feb 2023,352.3,349.2,347.6,352.4,381.3,422.9,675000,746600,717800,831200,570000,406000
