Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,208,207,209,199.6,203.1,229.2,619400,776700,706300,850400,529600,393300
Feb 2018,209.7,209.5,212,201.8,202.2,230.9,624600,785900,716500,859800,527400,396300
Mar 2018,213.3,212.1,214,204.7,203.9,240.3,635300,795700,723200,871900,531800,412300
Apr 2018,213.8,213.2,215.1,206.1,204.4,239.3,636800,800000,726800,877900,533100,410600
May 2018,214.4,213.2,216,205,208.4,240.9,638400,800100,730000,873200,543400,413400
Jun 2018,214.3,213.1,216.5,204.5,210.4,241.7,638300,799500,731400,871300,548700,414800
Jul 2018,214.2,212.5,216.9,203.1,209,245.9,637800,797300,733000,865300,545000,421900
Aug 2018,213.9,213.2,216.7,204.8,209.1,244.3,637000,800000,732100,872300,545300,419200
Sep 2018,213.8,213.6,216.9,205,206.7,244.1,636600,801600,732900,873100,539100,418900
Oct 2018,214.6,213.9,217.8,204.7,210.7,246.8,639200,802500,735900,872100,549400,423500
Nov 2018,214.9,214.2,218.1,205,210.3,249.1,639900,803800,737100,873100,548400,427400
Dec 2018,213,212.7,217.2,203.5,210,245.3,634200,798200,734000,866800,547800,421000
Jan 2019,211.6,210.3,214.7,200.8,209.8,247.3,630100,789100,725400,855300,547200,424300
Feb 2019,210,209,213.7,199.8,210.9,243.8,625400,784200,722200,851100,549900,418400
Mar 2019,208.7,207.7,211,199.2,211.8,241.6,621400,779300,713000,848700,552400,414600
Apr 2019,207.5,205.6,209.4,197.1,212.2,243.7,617900,771500,707500,839600,553400,418200
May 2019,208.2,206.6,209.9,198,208.8,247.2,620100,775200,709200,843500,544600,424200
Jun 2019,208.2,206.2,211,196.7,208.5,249.4,619900,773700,713000,837800,543700,428000
Jul 2019,208.7,207.1,212.3,197.4,210.4,249.9,621400,776900,717300,840900,548700,428900
Aug 2019,207.6,205.9,213.1,195.1,209.9,250.1,618200,772600,719900,831000,547300,429200
Sep 2019,210.7,209.8,215.1,200,211.2,253.4,627600,787200,726800,851800,550800,434800
Oct 2019,210.9,210.9,217.2,200.1,209.8,253.7,628100,791200,733900,852500,547200,435400
Nov 2019,212.1,211.9,219.3,200,212.1,256.8,631600,795000,741000,851900,553100,440600
Dec 2019,214.7,215,223.6,202.4,213.2,259.4,639400,806800,755700,862300,556100,445200
Jan 2020,214.9,215.3,222.1,203.7,216.1,258.7,639900,807800,750600,867800,563700,443900
Feb 2020,216.7,217.6,222.5,208.2,217.9,259.8,645200,816400,751700,886800,568200,445800
Mar 2020,216.2,216.8,222.7,205.8,216.1,260.7,643900,813600,752500,876800,563700,447300
Apr 2020,216.5,217.5,225.5,204.9,216.3,259,644800,816100,761900,872800,564200,444400
May 2020,215.1,216.1,223.3,203.8,212.9,257.5,640600,810900,754500,868400,555300,441800
Jun 2020,214.8,216.1,222.6,204.2,211.5,256.9,639600,810700,752100,870000,551500,440900
Jul 2020,216.4,218.4,225.2,206.7,213.7,256.5,644300,819500,761000,880500,557300,440100
Aug 2020,220,223,227.8,212.7,220.5,256.7,655200,836600,769600,906300,575000,440500
Sep 2020,223.7,227.6,233.4,216.2,221.7,258.6,666200,854000,788600,921000,578100,443700
Oct 2020,227.5,231.7,237.4,220.1,224.5,261.7,677500,869200,802100,937700,585600,449100
Nov 2020,230.7,236.1,241.9,224.3,227.3,263.8,687100,886000,817300,955600,592800,452600
Dec 2020,234.2,240.2,245.2,229.1,230.6,267,697300,901100,828600,975900,601300,458100
Jan 2021,237.2,245.3,250.3,233.4,229.3,268.6,706500,920300,845700,994400,598000,460900
Feb 2021,240.3,248.2,254.7,236,237.7,271,715700,931200,860600,1005300,620000,465000
Mar 2021,243,251.8,258.3,238.4,242,271.4,723600,944900,872800,1015500,631100,465700
Apr 2021,247.9,257.6,264.2,244,244.9,275.6,738300,966500,892800,1039600,638700,473000
May 2021,255,266.3,272,253,250,280.1,759300,999200,919100,1077900,652100,480600
Jun 2021,259.2,271.5,275.4,259.8,255.6,281.5,771900,1018500,930700,1106600,666500,483100
Jul 2021,264.8,277.9,279.3,268.6,259,287.1,788700,1042500,943900,1144400,675600,492600
Aug 2021,268.6,281.1,286.1,269.1,263.9,293.3,799800,1054600,966900,1146500,688200,503300
Sep 2021,272.5,284.4,289.2,272.3,271.5,298.2,811400,1067100,977300,1160100,708100,511700
Oct 2021,277.6,289.7,295.1,277.3,278.4,304.2,826800,1087100,997300,1181500,726100,522000
Nov 2021,285.3,298.9,304.6,285.8,281.8,312.6,849700,1121300,1029200,1217500,734900,536500
Dec 2021,291.8,306,313.4,291.8,288,319.1,869000,1148100,1059100,1243000,751200,547600
Jan 2022,300,315.2,321.8,301,295.2,328.3,893300,1182500,1087300,1282200,769800,563300
Feb 2022,304.6,319.5,327.3,305.2,296.8,338.9,907000,1198700,1105800,1300100,774000,581500
Mar 2022,315.5,331.1,336.8,316.7,302.7,354.5,939600,1242100,1138200,1349200,789400,608300
Apr 2022,320.8,337.6,340.6,325.7,308.6,356.4,955400,1266500,1150800,1387400,804700,611500
May 2022,322.3,338.5,339.4,328.3,317.3,355.7,959800,1270100,1146700,1398600,827400,610300
Jun 2022,324.8,339.4,341.1,328.8,321.7,360.4,967300,1273400,1152500,1400700,839000,618500
Jul 2022,322.2,335,338.2,323.8,322.5,360,959400,1256900,1142700,1379600,841200,617700
Aug 2022,317.2,329.2,331.2,319.1,316.7,356.8,944700,1235000,1119200,1359200,825900,612200
Sep 2022,313.4,324.7,327.3,314.4,312.7,354.1,933400,1218300,1105900,1339400,815500,607700
Oct 2022,309.7,320.7,321.5,312.7,308.9,349.9,922300,1203200,1086200,1332100,805600,600500
Nov 2022,303.9,314.2,312.5,308.3,307.7,342.9,904900,1178700,1056100,1313200,802600,588500
Dec 2022,298.8,308.7,307.1,303,305.6,336.1,889700,1158100,1037600,1290800,797000,576800
Jan 2023,296,303.8,301.6,298.5,303.1,338.6,881400,1140000,1019000,1271800,790400,581000
Feb 2023,292.4,301.5,301,295.9,298.9,333.2,870700,1131400,1017000,1260700,779500,571700
