Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA
Jan 2018,226.6,230.7,226.9,237.1,216.5,200,276000,284500,269100,309600,244200,211000
Feb 2018,226.4,230.8,227.2,237.1,216,195.8,275700,284600,269400,309700,243600,206600
Mar 2018,225.2,229.2,224.1,237.4,216,197.3,274300,282600,265800,310000,243600,208100
Apr 2018,225.7,230.7,225.2,239.3,214.2,195.4,274900,284400,267100,312500,241600,206100
May 2018,225.2,229.4,224.2,237,219,197.7,274300,282900,265900,309500,247000,208600
Jun 2018,225.6,229.5,223.9,237.9,218.6,196,274800,283000,265600,310700,246600,206800
Jul 2018,226.7,231,225.5,238.8,218.2,194,276100,284800,267500,311900,246100,204700
Aug 2018,228.5,232.8,226.8,242,215.8,192.8,278300,287100,269000,316100,243400,203400
Sep 2018,227.6,232,228.1,239.1,215,192.4,277200,286100,270500,312300,242500,203000
Oct 2018,227.1,232,226.4,240.8,217.7,190.7,276600,286000,268500,314500,245600,201200
Nov 2018,227.8,232.4,226.6,241.6,220.7,189.4,277500,286500,268700,315500,248900,199800
Dec 2018,226.4,230.8,223.4,242.6,224.1,190.5,275700,284600,265000,316800,252800,201000
Jan 2019,227.6,232.3,227.7,239.7,225.3,190.5,277200,286400,270100,313100,254100,201000
Feb 2019,226.7,230.9,225.9,239.5,227.4,194.3,276100,284700,267900,312800,256500,205000
Mar 2019,228.8,233.1,228.6,239.7,223.7,194.4,278700,287400,271100,313000,252300,205100
Apr 2019,228.3,232.8,228,240.9,222.3,196.5,278100,287100,270400,314600,250800,207300
May 2019,229,234.1,227.6,243.1,219.3,193.8,278900,288700,269900,317500,247400,204500
Jun 2019,230.2,234.8,227.6,245.1,218.2,194.1,280400,289500,269900,320100,246100,204800
Jul 2019,229.9,234.4,228.6,243.3,221.5,193.6,280000,289000,271100,317800,249900,204200
Aug 2019,230.9,235.4,229.5,244.6,223,192.8,281200,290200,272200,319500,251500,203400
Sep 2019,230,235,229.2,244.9,223.4,190.8,280200,289800,271800,319900,252000,201300
Oct 2019,230,235.4,227.8,247.1,226.4,189.3,280200,290300,270200,322700,255400,199700
Nov 2019,232.1,237.5,230.3,249.4,222.5,190.2,282700,292800,273100,325700,251000,200700
Dec 2019,231.7,237.4,232,246.4,220.8,193.1,282200,292700,275200,321800,249100,203700
Jan 2020,231.1,236.7,229.4,248.1,213.8,194.6,281500,291800,272100,324000,241200,205300
Feb 2020,231.6,236.8,229.8,249.2,220.6,192.1,282100,292000,272500,325500,248800,202700
Mar 2020,232.1,236.7,228.6,247.6,223.4,190.4,282700,291800,271100,323400,252000,200900
Apr 2020,229.1,234.4,228.2,244,222.1,184.8,279100,289000,270700,318700,250500,195000
May 2020,232.8,238.5,232.2,246.8,219.4,190.4,283500,294100,275400,322300,247500,200900
Jun 2020,237.8,243.1,236.5,252.1,222.1,191.6,289700,299800,280500,329200,250500,202100
Jul 2020,241.5,247.4,241.4,257.3,225.4,192.9,294200,305000,286300,336000,254200,203500
Aug 2020,243.9,249.8,243.4,260.6,227.7,193.3,297100,308000,288700,340300,256900,203900
Sep 2020,246,252.6,246.3,263.5,229.7,195.4,299600,311400,292100,344100,259100,206100
Oct 2020,249.6,256.8,251,265.8,230.9,196.3,304000,316600,297700,347200,260400,207100
Nov 2020,249.9,256.9,251.2,267.2,229.3,198.6,304400,316800,297900,349000,258700,209500
Dec 2020,251.4,259,252.4,270.1,224.6,197.8,306200,319400,299300,352700,253400,208700
Jan 2021,254,261.7,253.8,273.4,227.9,197.7,309400,322700,301000,357100,257100,208600
Feb 2021,257.4,264.7,258.6,276.2,231.6,197,313500,326400,306700,360700,261300,207800
Mar 2021,259.9,266.7,255.7,280.7,234.7,199.3,316500,328900,303300,366600,264700,210300
Apr 2021,265.7,273.6,266.4,284,237,202.8,323600,337300,316000,370900,267300,214000
