Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,1 Bedroom,2 Bedroom,3 Bedroom +,Total ,Year
Nfld.Lab.,St. John's,St. John's East,St. John's East,Row,1.0,22.0,16.0,16.0,55.0,2018
Nfld.Lab.,St. John's,St. John's East,St. John's East,Apt & Other,203.0,641.0,1015.0,107.0,1966.0,2018
Nfld.Lab.,St. John's,St. John's West,St. John's West,Row,0.0,46.0,21.0,0.0,67.0,2018
Nfld.Lab.,St. John's,St. John's West,St. John's West,Apt & Other,149.0,427.0,859.0,126.0,1561.0,2018
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Row,0.0,0.0,64.0,6.0,70.0,2018
Nfld.Lab.,St. John's,Remainder of CMA,Remainder of CMA,Apt & Other,7.0,147.0,182.0,63.0,399.0,2018
N.S.,Halifax,Peninsula South,Downtown Halifax,Row,0.0,4.0,2.0,5.0,11.0,2018
N.S.,Halifax,Peninsula South,Downtown Halifax,Apt & Other,318.0,1683.0,1088.0,220.0,3309.0,2018
N.S.,Halifax,Peninsula South,South End,Row,8.0,4.0,4.0,8.0,24.0,2018
N.S.,Halifax,Peninsula South,South End,Apt & Other,918.0,2342.0,1283.0,145.0,4688.0,2018
N.S.,Halifax,Peninsula South,Peninsula Southwest,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Peninsula South,Peninsula Southwest,Apt & Other,132.0,430.0,330.0,167.0,1059.0,2018
N.S.,Halifax,Peninsula North,Peninsula Northwest,Row,0.0,7.0,16.0,21.0,44.0,2018
N.S.,Halifax,Peninsula North,Peninsula Northwest,Apt & Other,285.0,1235.0,1672.0,233.0,3425.0,2018
N.S.,Halifax,Peninsula North,North End,Row,0.0,5.0,2.0,2.0,9.0,2018
N.S.,Halifax,Peninsula North,North End,Apt & Other,211.0,1006.0,1641.0,199.0,3057.0,2018
N.S.,Halifax,Mainland South,Armdale,Row,0.0,0.0,0.0,20.0,20.0,2018
N.S.,Halifax,Mainland South,Armdale,Apt & Other,22.0,72.0,254.0,13.0,361.0,2018
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Row,0.0,0.0,12.0,13.0,25.0,2018
N.S.,Halifax,Mainland South,Spryfield/Herring Cove,Apt & Other,32.0,903.0,1211.0,179.0,2325.0,2018
N.S.,Halifax,Mainland North,Fairmount,Row,0.0,0.0,8.0,16.0,24.0,2018
N.S.,Halifax,Mainland North,Fairmount,Apt & Other,7.0,133.0,162.0,12.0,314.0,2018
N.S.,Halifax,Mainland North,Fairview,Row,0.0,0.0,24.0,0.0,24.0,2018
N.S.,Halifax,Mainland North,Fairview,Apt & Other,18.0,557.0,1220.0,126.0,1921.0,2018
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Row,0.0,17.0,38.0,141.0,196.0,2018
N.S.,Halifax,Mainland North,Clayton Park/Rockingham,Apt & Other,340.0,2546.0,5152.0,1117.0,9155.0,2018
N.S.,Halifax,Mainland North,Bedford South,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Mainland North,Bedford South,Apt & Other,20.0,605.0,1690.0,250.0,2565.0,2018
N.S.,Halifax,Dartmouth North,Wyse Road,Row,0.0,0.0,4.0,2.0,6.0,2018
N.S.,Halifax,Dartmouth North,Wyse Road,Apt & Other,38.0,428.0,714.0,40.0,1220.0,2018
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Row,0.0,0.0,0.0,3.0,3.0,2018
N.S.,Halifax,Dartmouth North,Albro Lake/Lake Banook,Apt & Other,17.0,490.0,790.0,164.0,1461.0,2018
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Row,1.0,16.0,2.0,19.0,38.0,2018
N.S.,Halifax,Dartmouth North,Burnside/Tufts Cove,Apt & Other,143.0,2162.0,1805.0,137.0,4247.0,2018
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth South,Downtown Dartmouth,Apt & Other,42.0,932.0,1004.0,276.0,2254.0,2018
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Row,0.0,0.0,0.0,6.0,6.0,2018
N.S.,Halifax,Dartmouth South,Woodside/Eastern Passage,Apt & Other,48.0,278.0,548.0,20.0,894.0,2018
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth East,Portland Estates/Morris Lake,Apt & Other,5.0,149.0,695.0,18.0,867.0,2018
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Row,0.0,2.0,6.0,17.0,25.0,2018
N.S.,Halifax,Dartmouth East,Woodlawn/Forest Hills/Port Wallace,Apt & Other,5.0,320.0,712.0,123.0,1160.0,2018
N.S.,Halifax,Dartmouth East,Cole Harbour,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Dartmouth East,Cole Harbour,Apt & Other,4.0,12.0,284.0,7.0,307.0,2018
N.S.,Halifax,Bedford,Bedford,Row,0.0,0.0,5.0,5.0,10.0,2018
N.S.,Halifax,Bedford,Bedford,Apt & Other,27.0,227.0,1384.0,251.0,1889.0,2018
N.S.,Halifax,Sackville,Sackville,Row,0.0,0.0,31.0,23.0,54.0,2018
N.S.,Halifax,Sackville,Sackville,Apt & Other,5.0,259.0,968.0,203.0,1435.0,2018
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Remainder of CMA,Timberlea/Beechville,Apt & Other,0.0,77.0,192.0,0.0,269.0,2018
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Row,0.0,0.0,25.0,0.0,25.0,2018
N.S.,Halifax,Remainder of CMA,Hammonds Plains,Apt & Other,7.0,11.0,687.0,21.0,726.0,2018
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Row,0.0,0.0,0.0,0.0,0.0,2018
N.S.,Halifax,Remainder of CMA,Herring Cove/Terence Bay/Prospect etc.,Apt & Other,0.0,1.0,10.0,7.0,18.0,2018
N.S.,Halifax,Remainder of CMA,Waverley/Fall River/Beaverbank,Row,0.0,0.0,3.0,16.0,19.0,2018
