Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Row / En
bande",**,,$783,d,$943,b,**,,$1166,c
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,"Apt &
Other /
App. &
autres",$664,b,$829,a,$1049,a,$1002,a,$941,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,St. John's East ~ St. John's Est,Total,$664,b,$827,a,$1047,a,$1093,b,$947,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Row / En
bande",**,,$783,d,$943,b,**,,$1166,c
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,"Apt &
Other /
App. &
autres",$664,b,$829,a,$1049,a,$1002,a,$941,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's East ~ St. John's Est,Total,Total,$664,b,$827,a,$1047,a,$1093,b,$947,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Row / En
bande",--,,**,,$743,a,--,,$576,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,"Apt &
Other /
App. &
autres",$762,a,$773,a,$881,a,$959,a,$839,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,St. John's West ~ St. John's Ouest,Total,$762,a,$748,a,$877,a,$959,a,$828,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Row / En
bande",--,,**,,$743,a,--,,$576,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,"Apt &
Other /
App. &
autres",$762,a,$773,a,$881,a,$959,a,$839,a
Nfld.Lab./T.-N.-L.,St. John's,St. John's West ~ St. John's Ouest,Total,Total,$762,a,$748,a,$877,a,$959,a,$828,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Row / En
bande",--,,--,,**,,**,,**,
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,"Apt &
Other /
App. &
autres",**,,$720,a,$715,b,$677,b,$709,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Remainder of CMA ~ Reste de la RMR,Total,**,,$720,a,$766,c,$677,b,$729,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Row / En
bande",--,,--,,**,,**,,**,
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,"Apt &
Other /
App. &
autres",**,,$720,a,$715,b,$677,b,$709,a
Nfld.Lab./T.-N.-L.,St. John's,Remainder of CMA ~ Reste de la RMR,Total,Total,**,,$720,a,$766,c,$677,b,$729,a
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Row / En
bande",**,,$578,d,$839,b,**,,$844,b
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,"Apt &
Other /
App. &
autres",$712,a,$791,a,$961,a,$895,a,$877,a
Nfld.Lab./T.-N.-L.,St. John's,Total,Total,Total,$712,a,$781,a,$955,a,$944,a,$876,a
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Row / En
bande",**,,$578,d,$839,b,**,,$844,b
Nfld.Lab./T.-N.-L.,Total,Total,Total,"Apt &
Other /
App. &
autres",$712,a,$791,a,$961,a,$895,a,$877,a
Nfld.Lab./T.-N.-L.,Total,Total,Total,Total,$712,a,$781,a,$955,a,$944,a,$876,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Row / En
bande",--,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),"Apt &
Other /
App. &
autres",$978,a,$1202,a,$1774,a,$2099,b,$1436,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,Downtown Halifax ~ Halifax (centre-ville),Total,$978,a,$1200,a,$1774,a,$2095,a,$1437,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Row / En
bande",**,,**,,**,,**,,**,
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,"Apt &
Other /
App. &
autres",$856,a,$1120,a,$1515,a,$1852,a,$1197,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,South End,Total,$856,a,$1120,a,$1515,a,$1869,a,$1199,a
N.S./N.-É.,Halifax,Peninsula South ~ Sud de la péninsule,"Peninsula Southwest ~ Peninsula
(Sud-Ouest)","Row / En
bande",--,,--,,--,,--,,--,
